publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025009666-A,technical,random_existing,en,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,What solvent is used to form the metallocene solution?,hydrocarbon solvent,material,37,15,22,3,2879,2237,2120,0.009057,6123,458,0,0.025239,0.034296,24.579,ok,
WO-2023149795-A1,technical,random_existing,en,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,What protein synthesis stimulator is included in the second nutrient medium?,zinc acetate,material,36,15,21,3,2648,1646,1546,0.007291,5503,382,0,0.022239,0.02953,20.8,ok,
WO-2025211128-A1,technical,random_any,en,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,What is the recess depth from the surface of the silicon member?,0.5 μm or less,parameter_or_condition,34,15,19,3,2204,3542,3433,0.011476,4307,515,0,0.020646,0.032122,37.685,ok,
WO-2025210445-A1,technical,random_existing,fr,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Quelle tension est appliquée entre les électrodes ?,"de préférence entre 0 V et 220 V, plus préférentiellement entre 1 V et 20 V",parameter_or_condition,33,13,20,3,3604,1573,1389,0.008303,7179,579,0,0.030222,0.038525,27.541,ok,
MX-2025002756-A,technical,random_any,en,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,What is the manganese content range in the lead-free brass alloy?,2.0 to 2.5 wt % Mn,structure,35,15,20,3,2134,2275,2161,0.008221,4103,552,0,0.020589,0.02881,27.782,ok,
EP-4504821-A1,technical,random_missing,es,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,¿Qué valores puede tomar b?,0 o un entero de 1 a 500,parameter_or_condition,32,13,19,3,4109,2356,2250,0.010892,8697,458,0,0.032961,0.043853,31.585,ok,
WO-2025211336-A1,semantic,random_existing,en,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,What components form the basis of a resin that relies on addition reactions between silicon-containing polymers and sulfur-based molecules for light-induced hardening along with filler particles?,"includes component (A): a polyorganosiloxane having one or more vinyl groups in one molecule, component (B): a compound having one or more mercapto groups in one molecule, component (C): a photoinitiator, and component (D): hollow resin particles.",solution,33,14,19,3,2354,3833,3578,0.012391,4544,516,0,0.021372,0.033763,34.084,ok,
EP-4584229-A1,technical,random_missing,es,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,¿Qué representa el resto R en la fórmula R-NR'H?,"un linear or branched, optionally substituted hydrocarbon group con 1 to 20 carbon atoms",structure,33,12,21,3,3756,2032,1875,0.009641,8271,513,0,0.032508,0.042149,26.045,ok,
WO-2025054647-A1,semantic,random_missing,es,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,¿Qué propiedades de transporte de gas y de estabilidad mecánica debe poseer la estructura soporte para que un material termquímico funcione correctamente en un amplio margen de temperaturas?,"la matriz tiene un coeficiente de difusión de gas para el gas de 2,25*10-9 m2/s a 4,25*10-9 m2/s en un rango de temperatura de -30°C a 300°C, y una expansión máxima ε en el rango de la ley de Hooke de 25% a 300%",solution,33,13,20,3,3084,2789,2411,0.010693,6248,617,0,0.027999,0.038692,33.834,ok,
EP-4630021-A1,technical,random_missing,de,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Welche Eigenschaften besitzt das produzierte Amnion- und Fruchtwasser-Injektionsprodukt?,"clear, safe, and physiologically and biologically active liquid injectable",outcome,29,13,16,3,2755,2266,2117,0.008974,4755,542,0,0.022395,0.031369,24.096,ok,
MX-2025009131-A,technical,random_missing,zh,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,维持升高压力是为了什么？,to infuse the supercritical fluid into the polymer,parameter_or_condition,32,15,17,3,2476,2114,1992,0.008246,4653,550,0,0.022209,0.030455,23.471,ok,
WO-2022005333-A1,semantic,random_existing,en,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,How can low-demand refinery gases like catalytic cracking dry gas be upgraded into gasoline?,"produce gasolines using low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction",problem,31,12,19,3,2756,1676,1421,0.007501,5624,599,0,0.025857,0.033358,24.749,ok,
EP-4627881-A1,semantic,forced_zh,zh,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,工业熔化设备中实现多等离子体火焰供应的系统如何构建？,"a plasma generation unit (100) comprising a plurality of devices (10, 10a, 10b)",solution,33,14,19,3,2714,1397,1207,0.006751,5070,568,0,0.02373,0.030481,23.758,ok,
MX-2025007206-A,technical,random_missing,de,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,Oberhalb welcher Temperatur ermöglichen rAAV-Formulierungen langfristige Lagerung?,oberhalb von -80 °C,parameter_or_condition,37,15,22,3,2696,2825,2690,0.010298,4403,556,0,0.021549,0.031847,33.389,ok,
MX-2025010190-A,technical,random_existing,en,x-ai/grok-4.3,anthropic/claude-sonnet-4.6,What forms of polypeptide are suitable to provide a nutritionally complete amino acid profile when provided in a nutritional composition?,a recombinant polypeptide and variants and truncates thereof,material,27,15,12,3,2339,2248,2119,0.008409,4835,509,0,0.02214,0.030549,25.586,ok,
