mode,strategy,strategy_name,corpus_id,publication_number,question_language,context_language,question,answer,question_type,framing,faith_grounding,faith_precision,faith_numerical_fidelity,faith_overall,qual_search_bar_realism,qual_specificity,qual_phrasing_economy,qual_focus,qual_linguistic_quality,qual_overall,qual_search_realism,qual_lexical_distance,qual_conceptual_framing,qual_retrievability,qual_linguistic_quality,qual_overall,qual_failure_type,total_score
technical,1,random_any,EP-4633662-A1_en,EP-4633662-A1,en,"en,fr",What does the prodrug or proreporter comprise?,phenylboronic acid or phenylboronic ester derivatives,material,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4630509-A1_fr,EP-4630509-A1,fr,"de,fr",Quels ingrédients le composé d'étanchéité contient-il au minimum ?,"du sirop de glucose, de l'alumine et du graphite",material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4634248-A1_en,EP-4634248-A1,es,"en,fr",¿Qué tipo de polimerización se prefiere para el proceso de obtención?,the process is preferably carried out by free-radical polymerization.,method,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,1,random_any,EP-4634187-A1_en,EP-4634187-A1,es,"en,fr",¿Pueden usarse los compuestos de fórmula (I) como agente dopante?,como agente dopante orgánico,material,,5,5,5,15,4,4,4,5,5,22,,,,,5,22,none,37
technical,1,random_any,EP-4634142-A1_fr,EP-4634142-A1,fr,"en,fr",Quel type de zéolite est utilisé comme catalyseur ?,une zéolite ayant la structure de type MWW,material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4633768-A2_en,EP-4633768-A2,es,"en,fr",¿Qué superficies tiene el recipiente (2)?,a vessel (2) provided with an outer surface (12) and an inner surface (13);,structure,,5,5,5,15,4,5,5,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4633645-A1_fr,EP-4633645-A1,fr,"en,fr",Quel marqueur moléculaire est élevé dans les maladies neurodégénératives visées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65,parameter_or_condition,,5,5,5,15,4,5,5,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4633622-A2_en,EP-4633622-A2,de,"en,fr",Welche Wirkung kann die Behandlung mit einer Kombination komplementärer TMEM16-Inhibitoren haben?,"can result in beneficial, synergistic effects",outcome,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4634601-A1_en,EP-4634601-A1,en,"en,fr",What metal alloy is given as an example for the surface coating?,a molybdenum alloy.,material,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,1,random_any,EP-4630626-A1_de,EP-4630626-A1,de,"de,fr",Wie ist die Qualität des neuen Asphalts definiert?,"wobei die Qualität umso grösser ist, je geringer eine Abweichung von einem deklarierten Soll des neuen Asphalts ist",outcome,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
