model,query_language,doc_language,recall_at_10,n_pairs
embeddinggemma,en,en,0.8148148148148148,27
embeddinggemma,en,de,0.8333333333333334,6
embeddinggemma,en,fr,0.7142857142857143,21
embeddinggemma,en,es,0.8333333333333334,6
embeddinggemma,en,zh,1.0,5
embeddinggemma,de,en,0.5555555555555556,27
embeddinggemma,de,de,0.8333333333333334,6
embeddinggemma,de,fr,0.6190476190476191,21
embeddinggemma,de,es,0.6666666666666666,6
embeddinggemma,de,zh,0.8,5
embeddinggemma,fr,en,0.5925925925925926,27
embeddinggemma,fr,de,1.0,6
embeddinggemma,fr,fr,0.8095238095238095,21
embeddinggemma,fr,es,0.5,6
embeddinggemma,fr,zh,0.8,5
embeddinggemma,es,en,0.56,25
embeddinggemma,es,de,1.0,6
embeddinggemma,es,fr,0.7368421052631579,19
embeddinggemma,es,es,1.0,6
embeddinggemma,es,zh,1.0,5
embeddinggemma,zh,en,0.5,26
embeddinggemma,zh,de,0.6666666666666666,6
embeddinggemma,zh,fr,0.6,20
embeddinggemma,zh,es,0.5,6
embeddinggemma,zh,zh,1.0,5
qwen3-0.6B,en,en,0.7777777777777778,27
qwen3-0.6B,en,de,0.5,6
qwen3-0.6B,en,fr,0.8571428571428571,21
qwen3-0.6B,en,es,0.3333333333333333,6
qwen3-0.6B,en,zh,1.0,5
qwen3-0.6B,de,en,0.5555555555555556,27
qwen3-0.6B,de,de,0.6666666666666666,6
qwen3-0.6B,de,fr,0.5714285714285714,21
qwen3-0.6B,de,es,0.5,6
qwen3-0.6B,de,zh,1.0,5
qwen3-0.6B,fr,en,0.4444444444444444,27
qwen3-0.6B,fr,de,0.6666666666666666,6
qwen3-0.6B,fr,fr,0.8095238095238095,21
qwen3-0.6B,fr,es,0.5,6
qwen3-0.6B,fr,zh,0.6,5
qwen3-0.6B,es,en,0.6,25
qwen3-0.6B,es,de,0.6666666666666666,6
qwen3-0.6B,es,fr,0.7894736842105263,19
qwen3-0.6B,es,es,0.8333333333333334,6
qwen3-0.6B,es,zh,0.8,5
qwen3-0.6B,zh,en,0.6153846153846154,26
qwen3-0.6B,zh,de,0.6666666666666666,6
qwen3-0.6B,zh,fr,0.65,20
qwen3-0.6B,zh,es,0.5,6
qwen3-0.6B,zh,zh,0.8,5
