model,short,query_language,n_cross,n_same,Dmean_cross,Dmean_same,XRC_mean
google/embeddinggemma-300m,embeddinggemma,en,27,27,204.85,83.89,2.442
google/embeddinggemma-300m,embeddinggemma,de,27,7,112.96,134.0,0.843
google/embeddinggemma-300m,embeddinggemma,fr,27,27,176.15,73.3,2.403
google/embeddinggemma-300m,embeddinggemma,es,34,0,102.32,,
google/embeddinggemma-300m,embeddinggemma,zh,20,0,98.6,,
BAAI/bge-m3,bge-m3,en,27,27,356.67,100.56,3.547
BAAI/bge-m3,bge-m3,de,27,7,148.04,170.29,0.869
BAAI/bge-m3,bge-m3,fr,27,27,204.52,206.81,0.989
BAAI/bge-m3,bge-m3,es,34,0,129.97,,
BAAI/bge-m3,bge-m3,zh,20,0,155.4,,
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,en,27,27,233.48,132.89,1.757
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,de,27,7,165.59,287.71,0.576
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,fr,27,27,341.96,59.44,5.753
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,es,34,0,92.82,,
Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,zh,20,0,97.95,,
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,en,27,27,284.93,113.89,2.502
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,de,27,7,191.93,145.86,1.316
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,fr,27,27,198.74,95.07,2.09
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,es,34,0,133.47,,
nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,zh,20,0,209.55,,
ibm-granite/granite-embedding-278m-multilingual,granite-278m,en,27,27,411.52,348.37,1.181
ibm-granite/granite-embedding-278m-multilingual,granite-278m,de,27,7,232.74,227.29,1.024
ibm-granite/granite-embedding-278m-multilingual,granite-278m,fr,27,27,223.67,284.85,0.785
ibm-granite/granite-embedding-278m-multilingual,granite-278m,es,34,0,225.59,,
ibm-granite/granite-embedding-278m-multilingual,granite-278m,zh,20,0,276.6,,
sentence-transformers/LaBSE,LaBSE,en,27,27,296.26,491.52,0.603
sentence-transformers/LaBSE,LaBSE,de,27,7,255.52,72.29,3.535
sentence-transformers/LaBSE,LaBSE,fr,27,27,505.48,200.96,2.515
sentence-transformers/LaBSE,LaBSE,es,34,0,199.53,,
sentence-transformers/LaBSE,LaBSE,zh,20,0,245.55,,
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,en,27,27,515.67,365.41,1.411
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,de,27,7,255.19,49.14,5.193
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,fr,27,27,422.22,279.22,1.512
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,es,34,0,293.41,,
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,zh,20,0,352.85,,
intfloat/multilingual-e5-large-instruct,e5-large-instruct,en,27,27,584.22,76.93,7.595
intfloat/multilingual-e5-large-instruct,e5-large-instruct,de,27,7,425.74,25.86,16.465
intfloat/multilingual-e5-large-instruct,e5-large-instruct,fr,27,27,711.41,73.67,9.657
intfloat/multilingual-e5-large-instruct,e5-large-instruct,es,34,0,512.76,,
intfloat/multilingual-e5-large-instruct,e5-large-instruct,zh,20,0,323.05,,
