publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025009666-A,technical,random_existing,en,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,Where are the gas outlets located on the dump tank vessel?,at a top of the vessel,structure,35,15,20,3,2838,2018,1847,0.022419,6133,471,0,0.025464,0.047883,19.534,ok,
WO-2023149795-A1,technical,random_existing,en,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,What chemical is used as a protein synthesis stimulator in the second nutrient medium?,zinc acetate,material,37,15,22,3,2633,3575,3431,0.036124,5507,435,0,0.023046,0.05917,27.26,ok,
WO-2025211128-A1,technical,random_any,en,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,What is the recess depth from the surface of the silicon member?,0.5 μm or less,parameter_or_condition,34,15,19,3,2153,2736,2560,0.027853,4351,438,0,0.019623,0.047477,20.564,ok,
WO-2025210445-A1,technical,random_existing,fr,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,Quelle plage de tension est plus préférentiellement appliquée entre les électrodes ?,entre 1 V et 20 V,parameter_or_condition,35,14,21,3,3572,3119,2946,0.033429,7041,573,0,0.029718,0.063147,28.374,ok,
MX-2025002756-A,technical,random_any,en,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,What is the copper weight percent range in a lead-free brass alloy containing manganese and silicon?,59 to 62 wt %,structure,32,14,18,3,2086,2326,2153,0.024063,4131,565,0,0.020868,0.044931,23.702,ok,
EP-4504821-A1,technical,random_missing,es,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,¿Cuál es el rango de átomos de carbono permitido para el grupo R 2 bivalente?,3 to 18,structure,33,12,21,3,4045,7039,6846,0.069418,8821,567,0,0.034968,0.104386,46.826,ok,
WO-2025211336-A1,semantic,random_existing,en,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,What type of material formulation is designed to solve the issue of poor depth-of-cure in thick coatings while maintaining thermal stability and bendability?,photocurable resin composition which has favorable thick film curability and of which the cured product after curing is excellent in flexibility and heat resistance,problem,34,13,21,3,2306,2441,2185,0.025428,4458,565,0,0.021849,0.047277,23.64,ok,
EP-4584229-A1,technical,random_missing,es,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,¿Cuántos átomos de carbono tiene el grupo hidrocarbonado R en la fórmula R-NR'H?,1 to 20,structure,32,12,20,3,3622,2873,2703,0.03129,8207,475,0,0.031746,0.063036,26.169,ok,
WO-2025054647-A1,semantic,random_missing,es,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,¿Cómo se resuelven las tensiones mecánicas por dilatación y se asegura la permeabilidad al gas en acumuladores térmicos que operan en condiciones térmicas extremas?,"la matriz presenta un coeficiente de difusión de gas para el gas de 2.25*10 -9 m 2 /s a 4.25*10 -9 m 2 /s en un rango de temperatura de -30°C a 300°C, y una expansión máxima ε en el rango de la ley de Hooke de 25% a 300%",problem,32,12,20,3,3035,3227,2716,0.033596,6460,601,0,0.028395,0.06199,28.35,ok,
EP-4630021-A1,technical,random_missing,de,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,Aus welchen Ausgangsstoffen werden pferdespezifische therapeutische Zusammensetzungen hergestellt?,aus der Plazenta gewonnenen Materialien,material,31,14,17,3,2536,2718,2520,0.028266,4821,513,0,0.022158,0.050424,28.333,ok,
MX-2025009131-A,technical,random_missing,zh,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,在柔性泡沫生产工艺中，使用什么对高压釜腔或模腔进行加压？,supercritical fluid,material,35,15,20,3,2417,2606,2433,0.027079,4693,516,0,0.021819,0.048898,24.436,ok,
WO-2022005333-A1,semantic,random_existing,en,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,How can chemical processors salvage low-demand refinery byproducts containing olefins for fuel synthesis?,"produce gasolines using low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction",application,32,13,19,3,2734,1952,1690,0.021669,5544,557,0,0.024987,0.046656,22.08,ok,
EP-4627881-A1,semantic,forced_zh,zh,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,当单一喷嘴所提供的电离气体束能效不足时，可以采用什么方案将多套发生装置集结协同运作？,"Plasmaerzeugungseinrichtung (100) 包含多个 Vorrichtungen (10, 10a, 10b)",solution,29,13,16,3,2689,3956,3689,0.039637,5228,595,0,0.024609,0.064246,33.464,ok,
MX-2025007206-A,technical,random_missing,de,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,Über welcher Lagertemperatur ermöglichen die rAAV-Formulierungen eine langfristige Haltbarkeit?,-80°C,parameter_or_condition,34,13,21,3,2479,2063,1882,0.022285,4439,487,0,0.020622,0.042908,23.219,ok,
MX-2025010190-A,technical,random_existing,en,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,What encodes the recombinant polypeptides with a nutritionally complete amino acid profile?,polynucleotides,structure,31,14,17,3,2283,1712,1549,0.018832,4803,577,0,0.023064,0.041897,30.069,ok,
MX-2025005046-A,semantic,all,de,google/gemini-3.5-flash,anthropic/claude-sonnet-4.6,Wie kann die Verweilzeit und Konzentration von aktivem Sauerstoff bei einer physikalischen Desinfektionsmethode künstlich verlängert und erhöht werden?,"Das doppelte Magnetringpaar ist so konfiguriert, dass es die lokalen Magnetfelder intensiviert, die Anzahl und die mittlere Lebensdauer der radikalisierten Sauerstoffmoleküle erhöht und die Wasserreinigung verbessert.",solution,32,13,19,3,2752,2427,2135,0.025971,5074,598,0,0.024192,0.050163,26.469,ok,
