publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025009666-A,technical,random_existing,en,gpt-5-mini,anthropic/claude-sonnet-4.6,Where are the one or more gas outlets located on the dump tank vessel?,at a top of the vessel,parameter_or_condition,33,15,18,3,2893,1360,1216,0.001736,6107,542,0,0.026451,0.028187,31.899,ok,
WO-2023149795-A1,technical,random_existing,en,gpt-5-mini,anthropic/claude-sonnet-4.6,Which protein synthesis stimulator is included in the second nutrient medium?,zinc acetate,material,36,15,21,3,2623,2861,2752,0.003202,5497,452,0,0.023271,0.026473,52.467,ok,
WO-2025211128-A1,technical,random_any,en,gpt-5-mini,anthropic/claude-sonnet-4.6,What recess depth from the surface is required?,0.5 μm or less,parameter_or_condition,32,15,17,3,2121,1384,1280,0.00166,4297,438,0,0.019461,0.021121,28.43,ok,
WO-2025210445-A1,technical,random_existing,fr,gpt-5-mini,anthropic/claude-sonnet-4.6,Plage de tension préférée entre les électrodes,"de préférence entre 0 V et 220 V, plus préférentiellement entre 1 V et 20 V",parameter_or_condition,34,15,19,3,3562,1958,1792,0.002421,7041,467,0,0.028128,0.030549,35.548,ok,
MX-2025002756-A,technical,random_any,en,gpt-5-mini,anthropic/claude-sonnet-4.6,What is the weight percent range of Cu in the alloy?,59 to 62 wt % Cu,parameter_or_condition,33,15,18,3,2041,1348,1216,0.001613,4115,432,0,0.018825,0.020438,25.609,ok,
EP-4504821-A1,technical,random_missing,es,gpt-5-mini,anthropic/claude-sonnet-4.6,¿Qué valores puede tener k1?,"k1 is 0, 1, 2 or 3",parameter_or_condition,33,15,18,3,4059,2397,2240,0.002925,8735,503,0,0.03375,0.036675,44.953,ok,
WO-2025211336-A1,semantic,random_existing,en,gpt-5-mini,anthropic/claude-sonnet-4.6,"What combination of ingredient types is used to formulate a photocurable resin that yields flexible, heat-resistant cured films?","includes component (A): a polyorganosiloxane having one or more vinyl groups in one molecule, component (B): a compound having one or more mercapto groups in one molecule, component (C): a photoinitiator, and component (D): hollow resin particles.",solution,31,12,19,3,2283,1373,1152,0.00167,4396,563,0,0.021633,0.023303,35.598,ok,
EP-4584229-A1,technical,random_missing,es,gpt-5-mini,anthropic/claude-sonnet-4.6,¿Qué representa R en la fórmula R-NR'H?,a linear or branched and optionally substituted hydrocarbon group with 1 to 20 carbon atoms,structure,36,14,22,3,3867,3196,2944,0.003699,8395,529,0,0.03312,0.036819,60.304,ok,
WO-2025054647-A1,semantic,random_missing,es,gpt-5-mini,anthropic/claude-sonnet-4.6,¿Qué diseño estructural integra el material termochímico y qué propiedades de difusión y deformación especifica la matriz?,"el medio de almacenamiento termochímico incorporado en una matriz; la matriz tiene un coeficiente de difusión de gas para el gas de 2.25*10 -9 m 2 /s a 4.25*10 -9 m 2 /s en un intervalo de temperatura de -30°C a 300°C, y una expansión máxima ε en el rango de la ley de Hooke de 25% a 300%; el medio de almacenamiento termochímico está distribuido sustancialmente de forma homogénea en la matriz.",solution,28,11,17,3,2978,3711,3328,0.004098,6204,593,0,0.027507,0.031605,61.251,ok,
EP-4630021-A1,technical,random_missing,de,gpt-5-mini,anthropic/claude-sonnet-4.6,Welche Materialien enthalten die equinen therapeutischen Zusammensetzungen?,Plazenta-abgeleitete Materialien,material,31,14,17,3,2519,2588,2432,0.002915,4797,577,0,0.023046,0.025961,46.356,ok,
