publication_number,mode,strategy_name,question_language,context_language,n_passage_chars
MX-2025009666-A,technical,random_existing,en,"en,es,zh",3767
WO-2023149795-A1,technical,random_existing,en,"en,fr,zh",2840
WO-2025211128-A1,technical,random_any,en,"en,fr",1410
WO-2025210445-A1,technical,random_existing,fr,"en,fr",5536
MX-2025002756-A,technical,random_any,en,"en,es",850
EP-4504821-A1,technical,random_missing,es,"en,de,fr,zh",4580
WO-2025211336-A1,semantic,random_existing,en,"en,fr",1272
EP-4584229-A1,technical,random_missing,es,"en,de,fr,zh",6330
WO-2025054647-A1,semantic,random_missing,es,"en,de,fr",3162
EP-4630021-A1,technical,random_missing,de,"en,fr,zh",1795
MX-2025009131-A,technical,random_missing,zh,"en,es",2150
WO-2022005333-A1,semantic,random_existing,en,"en,fr",2991
EP-4627881-A1,semantic,forced_zh,zh,"en,de,fr",2113
MX-2025007206-A,technical,random_missing,de,"en,es",1665
MX-2025010190-A,technical,random_existing,en,"en,es,zh",1932
MX-2025005046-A,semantic,all,de,"en,es",2107
WO-2025207810-A1,technical,random_missing,zh,"en,fr",1884
EP-4627127-A1,technical,random_missing,de,"en,fr,zh",1457
EP-4633645-A1,technical,random_any,fr,"en,fr",1485
MX-2025007510-A,semantic,random_any,es,"en,es",1001
EP-4577789-A1,technical,random_existing,zh,"en,de,fr,zh",6066
WO-2025212655-A1,semantic,random_any,de,"en,fr,zh",2086
WO-2025202347-A1,semantic,random_missing,de,"en,fr,zh",2402
MX-2025006624-A,semantic,random_any,fr,"en,es",2126
WO-2025187661-A8,semantic,random_missing,es,"en,fr",936
EP-4633791-A1,semantic,forced_zh,zh,"en,fr",918
EP-4634436-A1,semantic,random_existing,fr,"en,fr",2326
WO-2025215167-A1,semantic,random_existing,de,"en,de,fr",1624
MX-2025004470-A,semantic,random_existing,en,"en,es",2379
WO-2025177605-A1,technical,random_existing,fr,"en,fr",2730
