run_id,created_at,dataset_repo,dataset_variant,git_commit,n_queries,n_corpus,model,main_score,recall_at_10,recall_at_100,ndcg_at_10,map_at_10,mrr_at_10
20260601-235117_137questions,2026-06-01T23:51:17+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,a378711,137,1110,BAAI/bge-m3,0.71655,0.71655,0.90876,0.63904,0.57376,0.67239
20260601-235117_137questions,2026-06-01T23:51:17+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,a378711,137,1110,intfloat/multilingual-e5-large,0.54501,0.54501,0.84915,0.45729,0.37509,0.51701
20260601-235117_137questions,2026-06-01T23:51:17+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,a378711,137,1110,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,0.49513,0.49513,0.82847,0.41358,0.34503,0.4489
20260601-235117_137questions,2026-06-01T23:51:17+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,a378711,137,1110,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,0.58881,0.58881,0.82482,0.50341,0.43678,0.53135
alias_graph,2026-06-09T03:01:31.462857+00:00,MehdiAstaraki/multi-lingual-qac-alias-graph,multilingual,7bf2dee,132,5841,Alibaba-NLP/gte-multilingual-base,0.0062,0.0062,0.0147,0.03885,0.01612,0.12071
alias_graph,2026-06-09T03:01:31.462857+00:00,MehdiAstaraki/multi-lingual-qac-alias-graph,multilingual,7bf2dee,132,5841,BAAI/bge-m3,0.05415,0.05415,0.11327,0.31138,0.18545,0.70244
alias_graph,2026-06-09T03:01:31.462857+00:00,MehdiAstaraki/multi-lingual-qac-alias-graph,multilingual,7bf2dee,132,5841,cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,0.0496,0.0496,0.10202,0.19607,0.11461,0.44135
alias_graph,2026-06-09T03:01:31.462857+00:00,MehdiAstaraki/multi-lingual-qac-alias-graph,multilingual,7bf2dee,132,5841,google/embeddinggemma-300m,0.08066,0.08066,0.15152,0.39367,0.26681,0.72528
alias_graph,2026-06-09T03:01:31.462857+00:00,MehdiAstaraki/multi-lingual-qac-alias-graph,multilingual,7bf2dee,132,5841,ibm-granite/granite-embedding-278m-multilingual,0.05607,0.05607,0.1057,0.27511,0.16979,0.57075
alias_graph,2026-06-09T03:01:31.462857+00:00,MehdiAstaraki/multi-lingual-qac-alias-graph,multilingual,7bf2dee,132,5841,intfloat/multilingual-e5-large-instruct,0.02922,0.02922,0.07323,0.17881,0.09572,0.45121
alias_graph,2026-06-09T03:01:31.462857+00:00,MehdiAstaraki/multi-lingual-qac-alias-graph,multilingual,7bf2dee,132,5841,nomic-ai/nomic-embed-text-v2-moe,0.05703,0.05703,0.11209,0.31866,0.19815,0.68998
alias_graph,2026-06-09T03:01:31.462857+00:00,MehdiAstaraki/multi-lingual-qac-alias-graph,multilingual,7bf2dee,132,5841,Qwen/Qwen3-Embedding-0.6B,0.0643,0.0643,0.12621,0.36227,0.22805,0.72995
alias_graph,2026-06-09T03:01:31.462857+00:00,MehdiAstaraki/multi-lingual-qac-alias-graph,multilingual,7bf2dee,132,5841,sentence-transformers/LaBSE,0.05613,0.05613,0.09723,0.26515,0.16448,0.56496
chem_patents,2026-06-11T02:57:21.369023+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,0928218,524,23787,Alibaba-NLP/gte-multilingual-base,0.00477,0.00477,0.02242,0.00279,0.00135,0.00319
chem_patents,2026-06-11T02:57:21.369023+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,0928218,524,23787,BAAI/bge-m3,0.50906,0.50906,0.68686,0.44557,0.38609,0.48649
chem_patents,2026-06-11T02:57:21.369023+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,0928218,524,23787,cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,0.23775,0.23775,0.41126,0.19938,0.16281,0.22734
chem_patents,2026-06-11T02:57:21.369023+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,0928218,524,23787,google/embeddinggemma-300m,0.57395,0.57395,0.75843,0.50316,0.44447,0.53113
chem_patents,2026-06-11T02:57:21.369023+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,0928218,524,23787,ibm-granite/granite-embedding-278m-multilingual,0.41539,0.41539,0.62118,0.36327,0.31602,0.39143
chem_patents,2026-06-11T02:57:21.369023+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,0928218,524,23787,intfloat/multilingual-e5-large-instruct,0.21835,0.21835,0.37723,0.20648,0.15474,0.30572
chem_patents,2026-06-11T02:57:21.369023+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,0928218,524,23787,nomic-ai/nomic-embed-text-v2-moe,0.46692,0.46692,0.66683,0.41719,0.36123,0.46888
chem_patents,2026-06-11T02:57:21.369023+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,0928218,524,23787,Qwen/Qwen3-Embedding-0.6B,0.49587,0.49587,0.71501,0.43241,0.37579,0.46858
chem_patents,2026-06-11T02:57:21.369023+00:00,MehdiAstaraki/multi-lingual-qac-chem-patents,multilingual,0928218,524,23787,sentence-transformers/LaBSE,0.30105,0.30105,0.47869,0.25053,0.19812,0.2938
