route,model,short,clir_at_10,recall_at_10,XRC50,n_cross,n_same,xrc_censored,thin_denominator,degenerate_clir,on_frontier,dominated_by
en,google/embeddinggemma-300m,embeddinggemma,0.3704,0.463,7.5,27,21,False,False,False,True,
de,google/embeddinggemma-300m,embeddinggemma,0.5617,0.5741,4.0,27,7,False,True,False,True,
es,google/embeddinggemma-300m,embeddinggemma,0.5049,0.5049,,34,0,True,False,False,True,
fr,google/embeddinggemma-300m,embeddinggemma,0.3333,0.463,12.333,27,27,False,False,False,False,bge-m3;nomic-v2-moe
zh,google/embeddinggemma-300m,embeddinggemma,0.4848,0.4848,,22,2,True,True,False,True,
en,BAAI/bge-m3,bge-m3,0.3148,0.4074,27.111,27,21,False,False,False,False,embeddinggemma;qwen3-0.6B
de,BAAI/bge-m3,bge-m3,0.4198,0.4568,4.5,27,7,False,True,False,False,embeddinggemma;qwen3-0.6B
es,BAAI/bge-m3,bge-m3,0.4853,0.4853,,34,0,True,False,False,False,
fr,BAAI/bge-m3,bge-m3,0.3333,0.4074,5.429,27,27,False,False,False,True,
zh,BAAI/bge-m3,bge-m3,0.4167,0.4167,,22,2,True,True,False,False,
en,Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.3704,0.4136,11.5,27,21,False,False,False,False,embeddinggemma
de,Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.4753,0.4877,3.0,27,7,False,True,False,True,
es,Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.4853,0.4853,,34,0,True,False,False,False,
fr,Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.1667,0.321,20.111,27,27,False,False,False,False,embeddinggemma;bge-m3;nomic-v2-moe;granite-278m
zh,Qwen/Qwen3-Embedding-0.6B,qwen3-0.6B,0.4091,0.4091,,22,2,True,True,False,False,
en,nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.2222,0.3889,25.0,27,21,False,False,False,False,embeddinggemma;qwen3-0.6B;granite-278m;LaBSE
de,nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.3951,0.4506,22.0,27,7,False,True,False,False,embeddinggemma;bge-m3;qwen3-0.6B
es,nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.4657,0.4657,,34,0,True,False,False,False,
fr,nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.3704,0.463,11.5,27,27,False,False,False,True,
zh,nomic-ai/nomic-embed-text-v2-moe,nomic-v2-moe,0.2727,0.2727,,22,2,True,True,False,False,
en,ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.2222,0.3025,3.96,27,21,False,False,False,False,LaBSE
de,ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.3395,0.3765,4.0,27,7,False,True,False,False,embeddinggemma;qwen3-0.6B
es,ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.3382,0.3382,,34,0,True,False,False,False,
fr,ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.2222,0.284,1.191,27,27,False,False,False,True,
zh,ibm-granite/granite-embedding-278m-multilingual,granite-278m,0.2955,0.2955,,22,2,True,True,False,False,
en,sentence-transformers/LaBSE,LaBSE,0.2222,0.2222,0.362,27,21,False,False,False,True,
de,sentence-transformers/LaBSE,LaBSE,0.2099,0.2284,1.32,27,7,False,True,False,True,
es,sentence-transformers/LaBSE,LaBSE,0.2353,0.2353,,34,0,True,False,False,False,
fr,sentence-transformers/LaBSE,LaBSE,0.0926,0.284,47.4,27,27,False,False,True,False,embeddinggemma;bge-m3;qwen3-0.6B;nomic-v2-moe;granite-278m;SapBERT
zh,sentence-transformers/LaBSE,LaBSE,0.3561,0.3561,,22,2,True,True,False,False,
en,cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.0741,0.179,3.291,27,21,False,False,True,False,LaBSE
de,cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.2469,0.2716,11.0,27,7,False,True,False,False,embeddinggemma;bge-m3;qwen3-0.6B;granite-278m
es,cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.1422,0.1422,,34,0,True,False,False,False,
fr,cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.1481,0.1914,5.681,27,27,False,False,False,False,bge-m3;granite-278m
zh,cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,SapBERT,0.2045,0.2045,,22,2,True,True,False,False,
en,intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.1296,0.2901,200.75,27,21,False,False,False,False,embeddinggemma;bge-m3;qwen3-0.6B;nomic-v2-moe;granite-278m;LaBSE
de,intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.0741,0.1543,278.0,27,7,False,True,True,False,embeddinggemma;bge-m3;qwen3-0.6B;nomic-v2-moe;granite-278m;LaBSE;SapBERT
es,intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.0294,0.0294,,34,0,True,False,True,False,
fr,intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.037,0.284,125.0,27,27,True,False,True,False,embeddinggemma;bge-m3;qwen3-0.6B;nomic-v2-moe;granite-278m;LaBSE;SapBERT
zh,intfloat/multilingual-e5-large-instruct,e5-large-instruct,0.0682,0.0682,,22,2,True,True,True,False,
