mode,strategy,strategy_name,corpus_id,publication_number,question_language,context_language,question,answer,question_type,framing,faith_grounding,faith_precision,faith_numerical_fidelity,faith_overall,qual_search_bar_realism,qual_specificity,qual_phrasing_economy,qual_focus,qual_linguistic_quality,qual_overall,qual_search_realism,qual_lexical_distance,qual_conceptual_framing,qual_retrievability,qual_linguistic_quality,qual_overall,qual_failure_type,total_score
technical,1,random_any,EP-4633662-A1_en,EP-4633662-A1,en,"en,fr",What does the prodrug or proreporter comprise?,phenylboronic acid or phenylboronic ester derivatives,material,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4633662-A1_en,EP-4633662-A1,en,"en,fr",Which agent example is given that increases ROS?,Aplysia punctata ink toxin (APIT),material,,5,5,5,15,3,5,4,5,4,21,,,,,4,21,weak-query-shape,36
technical,1,random_any,EP-4633662-A1_en,EP-4633662-A1,en,"en,fr",What is the kit of pharmaceutical compositions used for?,"diagnosis, prevention and/or treatment of proliferative diseases, viral and/or non-viral infections",outcome,,5,5,5,15,4,2,3,4,5,18,,,,,5,18,broad-summary,33
technical,1,random_any,EP-4630509-A1_fr,EP-4630509-A1,fr,"de,fr",Quels ingrédients le composé d'étanchéité contient-il au minimum ?,"du sirop de glucose, de l'alumine et du graphite",material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4630509-A1_fr,EP-4630509-A1,fr,"de,fr",Quel composant constitue le plus grand pourcentage en poids du composé d'étanchéité ?,le sirop de glucose constitue le plus grand pourcentage en poids (% en poids) par rapport au poids total du composé d'étanchéité,structure,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4630509-A1_fr,EP-4630509-A1,fr,"de,fr",Donnez des exemples d'objets que le composé d'étanchéité est destiné à sceller.,"des pièces de moteur, des composants de transmission, des brides, des tuyaux, des têtes de cylindre, des carters d'huile, des turbines ou des systèmes d'air comprimé",method,,5,5,5,15,4,4,4,3,5,20,,,,,5,20,bundled-facts,35
technical,1,random_any,EP-4634248-A1_en,EP-4634248-A1,es,"en,fr",¿Qué tipo de polimerización se prefiere para el proceso de obtención?,the process is preferably carried out by free-radical polymerization.,method,,5,5,5,15,5,5,5,5,5,25,,,,,5,25,none,40
technical,1,random_any,EP-4634248-A1_en,EP-4634248-A1,es,"en,fr",¿Cómo se obtienen las cadenas laterales poliméricas (B)?,"The polymeric sidechains (B) are obtainable by polymerization of at least one vinyl ester monomer (B1) optionally at least one nitrogen-containing monomer (B2), optionally further monomer(s) (B3).",material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4634248-A1_en,EP-4634248-A1,es,"en,fr",¿De qué está compuesto el polymer backbone (A)?,"The polymer backbone (A) comprises polyalkylene-oxide-derived moieties and moieties derived from lactone(s) and/or hydroxy acid(s), those moieties being mixed such that the polymer backbone contains ester-functions within the polymer chains.",structure,,5,5,5,15,4,5,4,5,4,22,,,,,4,22,weak-query-shape,37
technical,1,random_any,EP-4634187-A1_en,EP-4634187-A1,es,"en,fr",¿Pueden usarse los compuestos de fórmula (I) como agente dopante?,como agente dopante orgánico,material,,5,5,5,15,4,4,4,5,5,22,,,,,5,22,none,37
technical,1,random_any,EP-4634187-A1_en,EP-4634187-A1,es,"en,fr",¿En qué componente electrónico pueden utilizarse los compuestos de fórmula (I)?,transistor de efecto de campo orgánico,method,,5,5,5,15,4,4,4,5,5,22,,,,,5,22,none,37
technical,1,random_any,EP-4634187-A1_en,EP-4634187-A1,es,"en,fr",¿Qué compuestos trata la invención?,compuestos Indacene y azaindacene y homólogos superiores,structure,,5,5,5,15,3,3,3,5,5,19,,,,,5,19,document-phrasing,34
technical,1,random_any,EP-4634142-A1_fr,EP-4634142-A1,fr,"en,fr",Quel type de zéolite est utilisé comme catalyseur ?,une zéolite ayant la structure de type MWW,material,,5,5,5,15,5,5,4,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4634142-A1_fr,EP-4634142-A1,fr,"en,fr","Quel est le groupe aryle du 1,1-diaryléthane dans la charge ?",un groupe alkylphényle,structure,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4634142-A1_fr,EP-4634142-A1,fr,"en,fr","Quels produits sont formés par le craquage catalytique du 1,1-diaryléthane ?",en alkylstyrène et en alkylbenzène,outcome,,5,5,5,15,5,5,4,4,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4633768-A2_en,EP-4633768-A2,es,"en,fr",¿Qué superficies tiene el recipiente (2)?,a vessel (2) provided with an outer surface (12) and an inner surface (13);,structure,,5,5,5,15,4,5,5,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4633768-A2_en,EP-4633768-A2,es,"en,fr",¿Qué permite el fluido caloportador contenido en el recipiente (2)?,which heat transporting medium is configured to allow heat discharge during an adsorption phase;,material,,5,5,5,15,4,5,5,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4633768-A2_en,EP-4633768-A2,es,"en,fr",¿Cómo están configurados los medios de conducción de calor (14) durante el funcionamiento del generador de gas (1)?,the means for heat conduction (14) are configured to continuously allow heat discharge during the operation of the gas generator (1) to be able to extract heat from the said vessel (2);,parameter_or_condition,,5,5,5,15,4,5,4,5,5,23,,,,,5,23,none,38
technical,1,random_any,EP-4633645-A1_fr,EP-4633645-A1,fr,"en,fr",Quel marqueur moléculaire est élevé dans les maladies neurodégénératives visées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65,parameter_or_condition,,5,5,5,15,4,5,5,5,5,24,,,,,5,24,none,39
technical,1,random_any,EP-4633645-A1_fr,EP-4633645-A1,fr,"en,fr",Quel est le numéro de la formule générale du composé ?,la formule générale (I),structure,,5,5,5,15,3,5,4,5,5,22,,,,,5,22,document-phrasing,37
technical,1,random_any,EP-4633645-A1_fr,EP-4633645-A1,fr,"en,fr",Quelle autre indication thérapeutique est mentionnée pour les composés de formule (I) ?,dans le traitement du cancer.,outcome,,5,5,5,15,4,4,4,5,5,22,,,,,5,22,none,37
