mode,strategy,strategy_name,corpus_id,publication_number,question_language,context_language,question,answer,question_type,framing,faith_grounding,faith_precision,faith_numerical_fidelity,faith_overall,qual_search_bar_realism,qual_specificity,qual_phrasing_economy,qual_focus,qual_linguistic_quality,qual_overall,qual_search_realism,qual_lexical_distance,qual_conceptual_framing,qual_retrievability,qual_linguistic_quality,qual_overall,qual_failure_type,total_score
technical,1,random_any,EP-4633662-A1_en,EP-4633662-A1,en,"en,fr",Which agent example is given that increases ROS?,Aplysia punctata ink toxin (APIT),material,,5,5,5,15,3,4,4,4,4,19,,,,,4,19,none,34
technical,1,random_any,EP-4630509-A1_fr,EP-4630509-A1,fr,"de,fr",Quel composant constitue le plus grand pourcentage en poids du composé d'étanchéité ?,le sirop de glucose constitue le plus grand pourcentage en poids (% en poids) par rapport au poids total du composé d'étanchéité,structure,,4,3,5,12,3,4,3,5,4,19,,,,,4,19,none,31
technical,1,random_any,EP-4634248-A1_en,EP-4634248-A1,es,"en,fr",¿Qué tipo de polimerización se prefiere para el proceso de obtención?,the process is preferably carried out by free-radical polymerization.,method,,5,4,5,14,3,3,4,4,4,18,,,,,4,18,none,32
technical,1,random_any,EP-4634187-A1_en,EP-4634187-A1,es,"en,fr",¿Pueden usarse los compuestos de fórmula (I) como agente dopante?,como agente dopante orgánico,material,,4,5,5,14,3,3,3,4,4,17,,,,,4,17,weak-query-shape,31
technical,1,random_any,EP-4634142-A1_fr,EP-4634142-A1,fr,"en,fr",Quel type de zéolite est utilisé comme catalyseur ?,une zéolite ayant la structure de type MWW,material,,5,4,5,14,4,3,4,5,5,21,,,,,5,21,none,35
technical,1,random_any,EP-4633768-A2_en,EP-4633768-A2,es,"en,fr",¿Qué permite el fluido caloportador contenido en el recipiente (2)?,which heat transporting medium is configured to allow heat discharge during an adsorption phase;,material,,4,4,5,13,3,3,3,4,4,17,,,,,4,17,none,30
technical,1,random_any,EP-4633645-A1_fr,EP-4633645-A1,fr,"en,fr",Quel marqueur moléculaire est élevé dans les maladies neurodégénératives visées ?,un niveau élevé de phosphorylation de l'ubiquitine Ser65,parameter_or_condition,,5,4,5,14,4,4,4,5,5,22,,,,,5,22,none,36
technical,1,random_any,EP-4633622-A2_en,EP-4633622-A2,de,"en,fr",Welche Wirkung kann die Behandlung mit einer Kombination komplementärer TMEM16-Inhibitoren haben?,"can result in beneficial, synergistic effects",outcome,,4,4,5,13,3,4,3,4,4,18,,,,,4,18,none,31
technical,1,random_any,EP-4634601-A1_en,EP-4634601-A1,en,"en,fr",What metal alloy is given as an example for the surface coating?,a molybdenum alloy.,material,,5,5,5,15,3,4,4,5,4,20,,,,,4,20,none,35
technical,1,random_any,EP-4630626-A1_de,EP-4630626-A1,de,"de,fr",Wie ist die Qualität des neuen Asphalts definiert?,"wobei die Qualität umso grösser ist, je geringer eine Abweichung von einem deklarierten Soll des neuen Asphalts ist",outcome,,5,5,5,15,3,3,3,4,4,17,,,,,4,17,none,32
technical,1,random_any,EP-4630600-A1_de,EP-4630600-A1,en,"de,fr",What does the first homogeneous gas flow contain?,"one or more reactive gases, whose decomposition products form the layer",material,,5,5,5,15,3,2,3,4,4,16,,,,,4,16,broad-summary,31
technical,1,random_any,EP-4633632-A1_en,EP-4633632-A1,es,"en,fr",¿Qué vía de administración se utiliza para el agonista del receptor GLP-1?,by oral administration,method,,4,4,5,13,3,3,3,4,3,16,,,,,3,16,none,29
technical,1,random_any,EP-4634136-A1_en,EP-4634136-A1,es,"en,fr",¿Dónde está posicionada la capa de imprimación?,between the substrate and the constructional layer,structure,,4,4,5,13,3,2,4,4,4,17,,,,,4,17,broad-summary,30
technical,2,random_missing,EP-4634157-A1_en,EP-4634157-A1,de,"en,fr",Woraus besteht jedes R1?,each R1 is independently alkylene optionally interrupted by one or more –O- groups,structure,,5,4,5,14,3,3,2,4,4,16,,,,,4,16,weak-query-shape,30
technical,2,random_missing,EP-4630574-A1_de,EP-4630574-A1,en,"de,fr",What reagent is in the second reagent set?,Hippuricase,material,,4,4,5,13,3,3,4,4,4,18,,,,,4,18,weak-query-shape,31
technical,2,random_missing,EP-4634111-A1_en,EP-4634111-A1,de,"en,fr",Woraus wird der kohlenwasserstoffhaltige Kraftstoffstrom abgeleitet?,"aus dem kohlenwasserstoffhaltigen Abgasstrom, Dampf und jeglichem Zusatzbrennstoff",material,,5,5,5,15,3,3,3,5,4,18,,,,,4,18,none,33
technical,2,random_missing,EP-4634596-A1_en,EP-4634596-A1,es,"en,fr",¿Cuál es el intervalo de temperatura de funcionamiento del catalizador de baja temperatura?,between 150°C and 160°C,parameter_or_condition,,5,4,4,13,4,4,4,5,4,21,,,,,4,21,none,34
