publication_number,source_title,source_abstract,zh_title,zh_abstract,prompt_tokens,completion_tokens,reasoning_tokens,cached_tokens,total_tokens,cost_usd,latency_s,status,error
WO-2025216092-A1,Copper nanoparticles coated by reducing agent,"Provided are copper nanoparticles that: (I) have excellent dispersibility in an organic solvent and thus makes a paste containing the copper nanoparticles from which a highly smooth coating film can be formed; and (II) have excellent sinterability at low temperatures. At least a portion of the surface layer of each of the copper nanoparticles coated by a reducing agent is a film that contains copper oxide and optionally contains copper carbonate. The surfaces of the copper nanoparticles are coated with a reducing agent, where the mass carbon concentration is 0.10% to 2.00%.",还原剂包覆的铜纳米颗粒,提供具有以下特性的铜纳米颗粒：(I) 在有机溶剂中具有优异的分散性，因此可制成包含该铜纳米颗粒的浆料，由该浆料可形成高度平滑的涂膜；以及(II) 在低温下具有优异的烧结性。由还原剂包覆的各铜纳米颗粒的表层的至少一部分为包含氧化铜且任选包含碳酸铜的膜。铜纳米颗粒的表面包覆有还原剂，其碳质量浓度为0.10%至2.00%。,575,1230,1095,0,1805,0.00533125,23.549,ok,
EP-4634337-A1,Laboratory scale fluid catalytic cracking unit for co-refining bio-based feedstocks,"The invention relates to a test unit, particularly for the study of catalysts in reactions involving at least one catalyst and at least one reagent, such as fluid catalytic cracking reactions. The test unit comprises a downer, separator, riser, catalyst regenerator, and optional catalyst buffer. Transport of the catalyst is performed by screw conveyors.",用于共炼生物基原料的实验室规模流化催化裂化装置,本发明涉及一种试验装置，尤其用于研究涉及至少一种催化剂和至少一种试剂的反应中的催化剂，例如流化催化裂化反应。该试验装置包括下行管、分离器、提升管、催化剂再生器以及可选的催化剂缓冲罐。催化剂的输送通过螺旋输送机进行。,538,1207,1111,0,1745,0.00519875,22.733,ok,
EP-4562081-A1,Polymer composition for laser marking,"The invention relates to a polymer composition containing a polyamide- or polyester-carrier polymer matrix into which special polymer particles are embedded, to a method for producing the polymer composition, to its use as a laser marking additive or laser welding additive in organic polymer compositions, and to a laser-markable or laser-weldable organic polymer composition containing the polymer composition.",用于激光打标的聚合物组合物,本发明涉及一种聚合物组合物，其包含聚酰胺或聚酯载体聚合物基体，所述基体中嵌入了特定的聚合物颗粒；本发明还涉及该聚合物组合物的制备方法，其作为有机聚合物组合物中的激光打标添加剂或激光焊接添加剂的用途，以及一种包含该聚合物组合物的可激光打标或可激光焊接的有机聚合物组合物。,529,989,886,0,1518,0.00437,19.036,ok,
WO-2024019637-A1,Medicinal agent (embodiments) and device for using same,"The inventions are intended for stopping or slowing the progression of the acute phase of ischemic stroke, coronary failure and respiratory failure, and for saving injured and wounded persons suffering from heavy blood loss. A medicinal agent according to a first embodiment contains from 40 to 50 vol% helium, from 25 to 35 vol% argon, from 0.2 to 5 vol% xenon, from 2 to 10 vol% krypton, and not less than 21 vol% oxygen, to a total of 100 vol%, and the temperature of the gas mixture is 30-70°С. A medicinal agent according to a second embodiment contains from 21 to 60 vol% oxygen, from 0.2 to 35 vol% xenon, from 0.2 to 35 vol% krypton, or from 21 to 60 vol% oxygen, xenon in a concentration range of from 0.2 to 35 vol%, from 0.2 to 35 vol% krypton, and the remainder argon in an amount of not less 25 vol%, and the temperature of the gas is 15-70°С. The claimed device is characterized by a mask 1 connected to a breathing bag 7 and to a canister 12 containing an argon-xenon-krypton gas mixture, with a three-way valve for alternately supplying gases to the breathing bag 7, the device being further equipped with a canister 9 containing a helium-oxygen-argon-xenon-krypton gas mixture and having a valve mounted thereon with a manometer that is connected to the mask to permit a supply of the gas mixture directly into the mask 1, and a chemical or electric heater 11 with a connecting heat exchange line.",药用制剂（实施方案）及其使用装置,本发明旨在停止或减缓缺血性脑卒中、冠状动脉衰竭和呼吸衰竭急性期的进展，并用于救治失血严重的伤员。根据第一实施方案的药用制剂含有40至50 vol%的氦气、25至35 vol%的氩气、0.2至5 vol%的氙气、2至10 vol%的氪气以及不少于21 vol%的氧气，总计为100 vol%，并且该混合气体的温度为30-70°С。根据第二实施方案的药用制剂含有21至60 vol%的氧气、0.2至35 vol%的氙气、0.2至35 vol%的氪气，或者含有21至60 vol%的氧气、浓度范围为0.2至35 vol%的氙气、0.2至35 vol%的氪气，以及余量为不少于25 vol%的氩气，并且该气体的温度为15-70°С。所要求保护的装置的特征在于，面罩1连接到呼吸囊7和装有氩-氙-氪混合气体的储气罐12，并带有用于交替向呼吸囊7供应气体的三通阀，该装置还配备有装有氦-氧-氩-氙-氪混合气体的储气罐9，其上安装有带压力表的阀门，该阀门连接到面罩以允许将混合气体直接供应到面罩1中，以及带有连接换热管线的化学或电加热器11。,854,2837,2487,0,3691,0.01170625,52.133,ok,
WO-2021215962-A1,Method for applying a coating to items made from valve metal and alloy thereof,"The invention relates to the field of electrochemical application of coatings to the valve metals aluminium, titanium, magnesium and their alloys by the process of microarc oxidation (MAO) for a wide range of use not only on new items but also on post-operation items, in particular for restoring coatings after wear. A method includes submersion of an item in a bath with an aqueous electrolyte solution and MAO in a pulse anode-cathode mode. The MAO is performed by controlling the rate of growth of the coating at edges, corners and the centre of the item by changing the mode in the process of application of the coating using a device in which a charge unit includes a controllable pulse-increasing quasi-resonance converter with a current and voltage operating mode. The invention makes it possible to control the rate of production of the coating in different surface regions of an item, which makes it possible to obtain uniform coatings on the item in terms of thickness or a necessary thickness in regions thereof.",在阀金属及其合金制品上施加涂层的方法,本发明涉及通过微弧氧化(MAO)工艺在铝、钛、镁等阀金属及其合金表面电化学施加涂层的领域，其广泛适用于新制品以及使用后的制品，尤其适用于磨损后的涂层修复。该方法包括将制品浸入装有水溶液电解质的槽中，并在脉冲阳极-阴极模式下进行MAO。所述MAO通过以下方式执行：在施加涂层的过程中，利用一种设备改变工作模式，从而控制制品边缘、角部和中心处涂层的生长速率，该设备的充电单元包括一种具有电流和电压工作模式的可控脉冲升压准谐振变换器。本发明能够控制制品不同表面区域的涂层生成速率，从而在制品上获得厚度均匀的涂层，或在特定区域获得所需厚度的涂层。,668,1858,1674,0,2526,0.0078025,34.755,ok,
MX-2025009867-A,Methods for treating breast cancer,"The present disclosure is directed to methods of treating breast cancer in a subject in need thereof comprising administering to said subject a therapeutically effective amount of a radiopharmaceutical compound with GRPR antagonist moiety, e.g. [<sup>177</sup>Lu]Lu-NeoB, in combination with a CDK4/6 inhibitor, e.g. ribocicilib, and with a therapeutically effective amount of an endocrine treatment, e.g. fulvestrant.",治疗乳腺癌的方法,本公开涉及在有需要的受试者中治疗乳腺癌的方法，所述方法包括向所述受试者施用治疗有效量的具有GRPR拮抗基团的放射性药物化合物，例如[<sup>177</sup>Lu]Lu-NeoB，联合CDK4/6抑制剂，例如ribocicilib，以及治疗有效量的内分泌治疗，例如fulvestrant。,558,1481,1375,0,2039,0.00625125,28.766,ok,
MX-2025004735-A,Method for predicting response to a cancer treatment,"The invention relates to a method for predicting the response to an anti-cancer treatment of patients suffering from cancer, said method being based on the detection of biomarkers. The invention also relates to methods of treatment and methods for selecting a cancer patient to be treated or methods for selecting a suitable therapy for a cancer patient based on the detection of said biomarkers.",预测癌症治疗应答的方法,本发明涉及一种预测癌症患者对抗癌治疗应答的方法，所述方法基于生物标志物的检测。本发明还涉及治疗方法，以及基于所述生物标志物的检测来选择待治疗的癌症患者的方法，或为癌症患者选择合适疗法的方法。,531,932,857,0,1463,0.00415875,17.782,ok,
EP-4634124-A1,Method for elimination of pharmaceuticals from wastewater,"Method for eliminatoin of pharmaceuticals from wastewater by biological, photo-oxidation and sorption means consists of eliminating the pharmaceuticals from 5000 parts by weight of water at 25 °C by biologically eliminating the pharmaceuticals by adding 300 to 800 parts by weight of a filling containing Pseudomonas fluorescens bacteria encapsulated in polyvinyl alcohol lenses. The resulting mixture is maintained in buoyancy by agitation for 24 to 500 hours, then biologically pretreated water is homogenized for 3 to 7 minutes. Then the pharmaceuticals are eliminated by photooxidation for 5 to 60 minutes by UV radiation with a relative radiant power of 50 W/L of treated water from and the addition of 0.4 to 0.6 parts by weight of 30% H2O2and then by sorption by adding 45 to 55 parts by weight of a sorbent, which is iron humate or zinc humate, and applying it with agitation for 30 to 240 minutes.",去除废水中药物的方法,通过生物法、光氧化法和吸附法去除废水中药物的方法，其包括在25 °C下，向5000重量份水中加入300至800重量份含有包封在聚乙烯醇透镜中的Pseudomonas fluorescens细菌的填充物，从而生物去除水中的药物。通过搅拌使所得混合物保持悬浮状态24至500小时，然后将生物预处理后的水均质化3至7分钟。随后，通过光氧化法去除药物5至60分钟，采用相对辐射功率为50 W/L处理水的UV辐射，并添加0.4至0.6重量份的30% H2O2，然后通过吸附法去除，即加入45至55重量份的吸附剂，该吸附剂为腐殖酸铁或腐殖酸锌，并在搅拌下处理30至240分钟。,695,2694,2478,0,3389,0.01097125,50.278,ok,
WO-2025206149-A1,"Polyether polymer, polyether electrolyte for lithium ion secondary battery, composite solid electrolyte for lithium ion secondary battery, and lithium ion secondary battery","The present invention provides: a polyether polymer capable of suppressing a side reaction with a sulfide-based solid electrolyte, and having a high ion transference number; a polyether electrolyte for a lithium ion secondary battery using the polyether polymer; a composite solid electrolyte for a lithium ion secondary battery; and a lithium ion secondary battery. The present invention relates to a polyether polymer including 20 mol% or more of an X unit, which is a constituent unit derived from a specific trimethylene oxide, in 100 mol% of constituent units.",聚醚聚合物、锂离子二次电池用聚醚电解质、锂离子二次电池用复合固体电解质及锂离子二次电池,本发明提供：一种能够抑制与硫化物基固体电解质发生副反应且具有高离子迁移数的聚醚聚合物；一种使用该聚醚聚合物的锂离子二次电池用聚醚电解质；一种锂离子二次电池用复合固体电解质；以及一种锂离子二次电池。本发明涉及一种聚醚聚合物，在100 mol%的结构单元中包含20 mol%以上的X单元，所述X单元为衍生自特定氧化三亚甲基的结构单元。,596,1252,1117,0,1848,0.00544,23.758,ok,
EP-4630534-A1,Methods for increasing transfer cell density in seed culture and realizing high cell density inoculation in production cultures,The present application discloses methods for increasing transfer cell density in seed cultures and realizing high cell density inoculation in production cultures. The method for increasing the transfer cell density of a culture comprises cultivating cells by perfusion in a seed culture; and subjecting the seed culture to concentration by perfusion.,提高种子培养中转接细胞密度并实现生产培养中高细胞密度接种的方法,本申请公开了提高种子培养中转接细胞密度并实现生产培养中高细胞密度接种的方法。提高培养物转接细胞密度的方法包括：在种子培养中通过灌流培养细胞；以及对种子培养物进行灌流浓缩。,530,967,878,0,1497,0.00428875,18.329,ok,
