pack_id,candidate_rank_by_generated_score,is_selected_for_annotation,selected_rank_by_generated_score,is_wild_pack,generated_score_spread,generated_score_min,generated_score_max,annotator_total_score_selected,annotator_failure_type_selected,selected_source_passages,corpus_id,publication_number,mode,strategy,question_language,context_language,generated_total_score,generated_faith_overall,generated_quality_overall,generated_failure_type,question,answer
"EP-4633896-A1_en|technical|3|en|en,fr",1,yes,1,yes,12,25,37,10,none,"[{""language"": ""en"", ""passage"": ""Title: A method of extracting thermoset resin fractions for decomposition and reuse\n\nAbstract: A method of extracting of thermoset epoxy fractions from a composite structure comprising thermoset epoxy matrix having a network structure and embedded solid element(s) is described. The method comprises providing a swelling fluid and soaking the composite structure with the swelling fluid including allowing the thermoset epoxy matrix to swell the swelling fluid into the network structure of the thermoset epoxy matrix for a sufficient time to mechanically break up the network structure to form a multitude of thermoset epoxy fractions liberated from the solid elements. Separating at least a portion of the thermoset epoxy fractions from the solid elements to obtain a swelling fluid slurry comprising the portion of the thermoset epoxy fractions in the swelling fluid. The swelling fluid comprises at least 1 mol/L of formic acid.""}, {""language"": ""fr"", ""passage"": ""Title: Procédé d'extraction de fractions de résine thermodurcies pour décomposition et réutilisation\n\nAbstract: L'invention concerne un procédé d'extraction de fractions époxy thermodurcies à partir d'une structure composite comprenant une matrice d'époxy thermodurcie ayant une structure de réseau et un ou plusieurs éléments solides incorporés. Le procédé comprend la fourniture d'un fluide de gonflement et l'imbibition de la structure composite avec le fluide de gonflement, y compris le fait de permettre à la matrice d'époxy thermodurcie de gonfler le fluide de gonflement dans la structure de réseau de la matrice d'époxy thermodurcie pendant un temps suffisant pour rompre mécaniquement la structure de réseau afin de former une multitude de fractions époxy thermodurcies libérées des éléments solides. Séparation d'au moins une portion des fractions époxy thermodurcies des éléments solides en vue d'obtenir une suspension de fluide gonflant comprenant la portion des fractions époxy thermodurcies dans le fluide de gonflement. Le fluide de gonflement comprend au moins 1 mol/l d'acide formique.""}]",EP-4633896-A1_en,EP-4633896-A1,technical,3,en,"en,fr",37,15,22,none,What concentration of formic acid is in the swelling fluid?,at least 1 mol/L of formic acid.
"EP-4633896-A1_en|technical|3|en|en,fr",2,no,1,yes,12,25,37,10,none,"[{""language"": ""en"", ""passage"": ""Title: A method of extracting thermoset resin fractions for decomposition and reuse\n\nAbstract: A method of extracting of thermoset epoxy fractions from a composite structure comprising thermoset epoxy matrix having a network structure and embedded solid element(s) is described. The method comprises providing a swelling fluid and soaking the composite structure with the swelling fluid including allowing the thermoset epoxy matrix to swell the swelling fluid into the network structure of the thermoset epoxy matrix for a sufficient time to mechanically break up the network structure to form a multitude of thermoset epoxy fractions liberated from the solid elements. Separating at least a portion of the thermoset epoxy fractions from the solid elements to obtain a swelling fluid slurry comprising the portion of the thermoset epoxy fractions in the swelling fluid. The swelling fluid comprises at least 1 mol/L of formic acid.""}, {""language"": ""fr"", ""passage"": ""Title: Procédé d'extraction de fractions de résine thermodurcies pour décomposition et réutilisation\n\nAbstract: L'invention concerne un procédé d'extraction de fractions époxy thermodurcies à partir d'une structure composite comprenant une matrice d'époxy thermodurcie ayant une structure de réseau et un ou plusieurs éléments solides incorporés. Le procédé comprend la fourniture d'un fluide de gonflement et l'imbibition de la structure composite avec le fluide de gonflement, y compris le fait de permettre à la matrice d'époxy thermodurcie de gonfler le fluide de gonflement dans la structure de réseau de la matrice d'époxy thermodurcie pendant un temps suffisant pour rompre mécaniquement la structure de réseau afin de former une multitude de fractions époxy thermodurcies libérées des éléments solides. Séparation d'au moins une portion des fractions époxy thermodurcies des éléments solides en vue d'obtenir une suspension de fluide gonflant comprenant la portion des fractions époxy thermodurcies dans le fluide de gonflement. Le fluide de gonflement comprend au moins 1 mol/l d'acide formique.""}]",EP-4633896-A1_en,EP-4633896-A1,technical,3,en,"en,fr",28,12,16,weak-query-shape,What is formed when the network structure is mechanically broken up?,to form a multitude of thermoset epoxy fractions liberated from the solid elements.
"EP-4633896-A1_en|technical|3|en|en,fr",3,no,1,yes,12,25,37,10,none,"[{""language"": ""en"", ""passage"": ""Title: A method of extracting thermoset resin fractions for decomposition and reuse\n\nAbstract: A method of extracting of thermoset epoxy fractions from a composite structure comprising thermoset epoxy matrix having a network structure and embedded solid element(s) is described. The method comprises providing a swelling fluid and soaking the composite structure with the swelling fluid including allowing the thermoset epoxy matrix to swell the swelling fluid into the network structure of the thermoset epoxy matrix for a sufficient time to mechanically break up the network structure to form a multitude of thermoset epoxy fractions liberated from the solid elements. Separating at least a portion of the thermoset epoxy fractions from the solid elements to obtain a swelling fluid slurry comprising the portion of the thermoset epoxy fractions in the swelling fluid. The swelling fluid comprises at least 1 mol/L of formic acid.""}, {""language"": ""fr"", ""passage"": ""Title: Procédé d'extraction de fractions de résine thermodurcies pour décomposition et réutilisation\n\nAbstract: L'invention concerne un procédé d'extraction de fractions époxy thermodurcies à partir d'une structure composite comprenant une matrice d'époxy thermodurcie ayant une structure de réseau et un ou plusieurs éléments solides incorporés. Le procédé comprend la fourniture d'un fluide de gonflement et l'imbibition de la structure composite avec le fluide de gonflement, y compris le fait de permettre à la matrice d'époxy thermodurcie de gonfler le fluide de gonflement dans la structure de réseau de la matrice d'époxy thermodurcie pendant un temps suffisant pour rompre mécaniquement la structure de réseau afin de former une multitude de fractions époxy thermodurcies libérées des éléments solides. Séparation d'au moins une portion des fractions époxy thermodurcies des éléments solides en vue d'obtenir une suspension de fluide gonflant comprenant la portion des fractions époxy thermodurcies dans le fluide de gonflement. Le fluide de gonflement comprend au moins 1 mol/l d'acide formique.""}]",EP-4633896-A1_en,EP-4633896-A1,technical,3,en,"en,fr",25,15,10,document-phrasing,What does the method comprise providing?,a swelling fluid
"EP-4633462-A1_en|technical|3|en|en,fr",1,yes,1,yes,11,22,33,9,document-phrasing,"[{""language"": ""en"", ""passage"": ""Title: Dermal sensor for determining analyte concentrations\n\nAbstract: A monitor for determining analyte concentrations in vivo, includes a housing configured to adhere to the skin of a subject, an elongate sensor body configured to extend from the housing into the skin of the subject, an analyte sensing region positioned on the sensor body such that the analyte sensing region is configured to be held in the dermis of the skin of the subject, and at least one engagement surface configured to facilitate increased anchoring of the sensor body in the skin of the subject.""}, {""language"": ""fr"", ""passage"": ""Title: Capteur dermique servant à déterminer des concentrations d'analyte\n\nAbstract: Un moniteur servant à déterminer des concentrations d'analyte in vivo comprend un boîtier configuré pour adhérer à la peau d'un sujet, un corps de capteur allongé configuré pour s'étendre depuis le boîtier dans la peau du sujet, une région de détection d'analyte positionnée sur le corps de capteur de sorte que la région de détection d'analyte est configurée pour être maintenue dans le derme de la peau du sujet, et au moins une surface de mise en prise configurée pour faciliter un ancrage accru du corps de capteur dans la peau du sujet.""}]",EP-4633462-A1_en,EP-4633462-A1,technical,3,en,"en,fr",33,15,18,weak-query-shape,Where is the analyte sensing region configured to be held?,in the dermis of the skin of the subject
"EP-4633462-A1_en|technical|3|en|en,fr",2,no,1,yes,11,22,33,9,document-phrasing,"[{""language"": ""en"", ""passage"": ""Title: Dermal sensor for determining analyte concentrations\n\nAbstract: A monitor for determining analyte concentrations in vivo, includes a housing configured to adhere to the skin of a subject, an elongate sensor body configured to extend from the housing into the skin of the subject, an analyte sensing region positioned on the sensor body such that the analyte sensing region is configured to be held in the dermis of the skin of the subject, and at least one engagement surface configured to facilitate increased anchoring of the sensor body in the skin of the subject.""}, {""language"": ""fr"", ""passage"": ""Title: Capteur dermique servant à déterminer des concentrations d'analyte\n\nAbstract: Un moniteur servant à déterminer des concentrations d'analyte in vivo comprend un boîtier configuré pour adhérer à la peau d'un sujet, un corps de capteur allongé configuré pour s'étendre depuis le boîtier dans la peau du sujet, une région de détection d'analyte positionnée sur le corps de capteur de sorte que la région de détection d'analyte est configurée pour être maintenue dans le derme de la peau du sujet, et au moins une surface de mise en prise configurée pour faciliter un ancrage accru du corps de capteur dans la peau du sujet.""}]",EP-4633462-A1_en,EP-4633462-A1,technical,3,en,"en,fr",29,13,16,weak-query-shape,What part is configured to adhere to the skin of a subject?,a housing configured to adhere to the skin of a subject
"EP-4633462-A1_en|technical|3|en|en,fr",3,no,1,yes,11,22,33,9,document-phrasing,"[{""language"": ""en"", ""passage"": ""Title: Dermal sensor for determining analyte concentrations\n\nAbstract: A monitor for determining analyte concentrations in vivo, includes a housing configured to adhere to the skin of a subject, an elongate sensor body configured to extend from the housing into the skin of the subject, an analyte sensing region positioned on the sensor body such that the analyte sensing region is configured to be held in the dermis of the skin of the subject, and at least one engagement surface configured to facilitate increased anchoring of the sensor body in the skin of the subject.""}, {""language"": ""fr"", ""passage"": ""Title: Capteur dermique servant à déterminer des concentrations d'analyte\n\nAbstract: Un moniteur servant à déterminer des concentrations d'analyte in vivo comprend un boîtier configuré pour adhérer à la peau d'un sujet, un corps de capteur allongé configuré pour s'étendre depuis le boîtier dans la peau du sujet, une région de détection d'analyte positionnée sur le corps de capteur de sorte que la région de détection d'analyte est configurée pour être maintenue dans le derme de la peau du sujet, et au moins une surface de mise en prise configurée pour faciliter un ancrage accru du corps de capteur dans la peau du sujet.""}]",EP-4633462-A1_en,EP-4633462-A1,technical,3,en,"en,fr",22,10,12,broad-summary,What does the monitor determine in vivo?,determining analyte concentrations in vivo
"EP-4633950-A1_en|technical|4|es|en,fr",1,yes,1,yes,11,24,35,8,language-issue,"[{""language"": ""en"", ""passage"": ""Title: Use of a triple-structured steel in an acidic environment\n\nAbstract: The invention relates to the use of a steel material in contact with an acidic medium that has a pH of less than 5, the steel material being composed of grains comprising a matrix within which precipitates are incorporated, the steel material comprising i) chromium, nickel, carbon, oxygen, manganese, molybdenum, silicon, phosphorus, sulfur, other elements and iron; ii) spherical precipitates, the size of which is between 1 nm and 150 nm; iii) equiaxed, non-columnar grains, the size of which is less than 40 µm; and iv) between 68% and 82% HAGBs, between 1% and 16% LAGBs, and between 9% and 26% twin boundaries.""}, {""language"": ""fr"", ""passage"": ""Title: Utilisation d'un acier à triple structuration dans un environnement acide\n\nAbstract: Utilisation d'un matériau en acier au contact d'un milieu acide présentant un pH inférieur à 5, le matériau en acier étant composé de grains comprenant une matrice dans laquelle sont incorporés des précipités, le matériau en acier comprenant i) du chrome, du nickel, du carbone, de l'oxygène, du manganèse, du molybdène, du silicium, du phosphore, du soufre, d'autres éléments et du fer, ii) des précipités sphériques, de taille variant entre 1 nm et 150 nm, iii) des grains non colonnaires équiaxes dont la taille est inférieure à 40 µm, et iv) entre 68 % et 82 % de joints de grain de type HAGB, entre 1 % et 16 % de joints de type LAGB, et entre 9 % et 26 % de joints de macles Pas de figure d'abrégé.""}]",EP-4633950-A1_en,EP-4633950-A1,technical,4,es,"en,fr",35,13,22,none,tamaño de los precipitados esféricos,between 1 nm and 150 nm
"EP-4633950-A1_en|technical|4|es|en,fr",2,no,1,yes,11,24,35,8,language-issue,"[{""language"": ""en"", ""passage"": ""Title: Use of a triple-structured steel in an acidic environment\n\nAbstract: The invention relates to the use of a steel material in contact with an acidic medium that has a pH of less than 5, the steel material being composed of grains comprising a matrix within which precipitates are incorporated, the steel material comprising i) chromium, nickel, carbon, oxygen, manganese, molybdenum, silicon, phosphorus, sulfur, other elements and iron; ii) spherical precipitates, the size of which is between 1 nm and 150 nm; iii) equiaxed, non-columnar grains, the size of which is less than 40 µm; and iv) between 68% and 82% HAGBs, between 1% and 16% LAGBs, and between 9% and 26% twin boundaries.""}, {""language"": ""fr"", ""passage"": ""Title: Utilisation d'un acier à triple structuration dans un environnement acide\n\nAbstract: Utilisation d'un matériau en acier au contact d'un milieu acide présentant un pH inférieur à 5, le matériau en acier étant composé de grains comprenant une matrice dans laquelle sont incorporés des précipités, le matériau en acier comprenant i) du chrome, du nickel, du carbone, de l'oxygène, du manganèse, du molybdène, du silicium, du phosphore, du soufre, d'autres éléments et du fer, ii) des précipités sphériques, de taille variant entre 1 nm et 150 nm, iii) des grains non colonnaires équiaxes dont la taille est inférieure à 40 µm, et iv) entre 68 % et 82 % de joints de grain de type HAGB, entre 1 % et 16 % de joints de type LAGB, et entre 9 % et 26 % de joints de macles Pas de figure d'abrégé.""}]",EP-4633950-A1_en,EP-4633950-A1,technical,4,es,"en,fr",32,12,20,broad-summary,pH del medio ácido,a pH of less than 5
"EP-4633950-A1_en|technical|4|es|en,fr",3,no,1,yes,11,24,35,8,language-issue,"[{""language"": ""en"", ""passage"": ""Title: Use of a triple-structured steel in an acidic environment\n\nAbstract: The invention relates to the use of a steel material in contact with an acidic medium that has a pH of less than 5, the steel material being composed of grains comprising a matrix within which precipitates are incorporated, the steel material comprising i) chromium, nickel, carbon, oxygen, manganese, molybdenum, silicon, phosphorus, sulfur, other elements and iron; ii) spherical precipitates, the size of which is between 1 nm and 150 nm; iii) equiaxed, non-columnar grains, the size of which is less than 40 µm; and iv) between 68% and 82% HAGBs, between 1% and 16% LAGBs, and between 9% and 26% twin boundaries.""}, {""language"": ""fr"", ""passage"": ""Title: Utilisation d'un acier à triple structuration dans un environnement acide\n\nAbstract: Utilisation d'un matériau en acier au contact d'un milieu acide présentant un pH inférieur à 5, le matériau en acier étant composé de grains comprenant une matrice dans laquelle sont incorporés des précipités, le matériau en acier comprenant i) du chrome, du nickel, du carbone, de l'oxygène, du manganèse, du molybdène, du silicium, du phosphore, du soufre, d'autres éléments et du fer, ii) des précipités sphériques, de taille variant entre 1 nm et 150 nm, iii) des grains non colonnaires équiaxes dont la taille est inférieure à 40 µm, et iv) entre 68 % et 82 % de joints de grain de type HAGB, entre 1 % et 16 % de joints de type LAGB, et entre 9 % et 26 % de joints de macles Pas de figure d'abrégé.""}]",EP-4633950-A1_en,EP-4633950-A1,technical,4,es,"en,fr",24,14,10,broad-summary,elementos presentes en el material de acero,"chromium, nickel, carbon, oxygen, manganese, molybdenum, silicon, phosphorus, sulfur, other elements and iron"
"EP-4634601-A1_en|technical|1|en|en,fr",1,yes,1,yes,11,24,35,10,none,"[{""language"": ""en"", ""passage"": ""Title: Weapons and weapon components including surface coatings\n\nAbstract: Molds and dies with surface coatings are described. A surface of the mold or die that, contacts a material to be processed can include a surface coating. The surface coating ca include many different materials man may include a metal or metal alloy such as, for example, a molybdenum alloy.""}, {""language"": ""fr"", ""passage"": ""Title: Armes et composants d'arme comprenant des revêtements de surface\n\nAbstract: L'invention concerne des moules et des matrices avec des revêtements de surface. Une surface du moule ou de la matrice qui entre en contact avec un matériau à traiter peut comprendre un revêtement de surface. Le revêtement de surface peut comprend de nombreux matériaux différents qui peuvent comprendre un métal ou un alliage métallique tel que, par exemple, un alliage de molybdène.""}]",EP-4634601-A1_en,EP-4634601-A1,technical,1,en,"en,fr",35,15,20,none,What metal alloy is given as an example for the surface coating?,a molybdenum alloy.
