model,query_id,query_language,mode,strategy,is_synthetic_translation,recall_at_10,rr_at_10,hit_at_10,n_relevant
BAAI/bge-m3,4253488_en_q_en,en,technical,random,False,0.66667,0.125,1,3
BAAI/bge-m3,4240657_en_q_en,en,technical,random,False,1.0,1.0,1,3
BAAI/bge-m3,4392158_fr_q_fr,fr,technical,random,False,0.66667,1.0,1,3
BAAI/bge-m3,4042883_en_q_en,en,technical,random,False,0.0,0.0,0,3
BAAI/bge-m3,3938339_en_q_en,en,technical,random,False,0.33333,0.125,1,3
BAAI/bge-m3,4142732_en_q_en,en,technical,random,False,0.66667,0.5,1,3
BAAI/bge-m3,3741850_de_q_de,de,technical,random,False,0.0,0.0,0,3
BAAI/bge-m3,4499761_fr_q_fr,fr,technical,random,False,1.0,1.0,1,3
BAAI/bge-m3,4447705_en_q_en,en,technical,random,False,0.66667,0.5,1,3
BAAI/bge-m3,4063613_fr_q_fr,fr,technical,random,False,0.0,0.0,0,3
BAAI/bge-m3,3923379_fr_q_fr,fr,technical,random,False,0.0,0.0,0,3
BAAI/bge-m3,4061310_fr_q_fr,fr,technical,random,False,1.0,1.0,1,3
BAAI/bge-m3,4464499_fr_q_fr,fr,technical,random,False,0.0,0.0,0,3
BAAI/bge-m3,4293769_en_q_en,en,technical,random,False,0.33333,0.2,1,3
BAAI/bge-m3,3528870_fr_q_fr,fr,technical,random,False,1.0,1.0,1,3
BAAI/bge-m3,3493685_en_q_en,en,technical,random,False,1.0,1.0,1,3
BAAI/bge-m3,4240898_de_q_de,de,technical,random,False,0.0,0.0,0,3
BAAI/bge-m3,4194223_en_q_en,en,technical,random,False,0.0,0.0,0,3
BAAI/bge-m3,3883940_en_q_en,en,technical,random,False,1.0,1.0,1,3
BAAI/bge-m3,3254789_en_q_en,en,technical,random,False,0.0,0.0,0,3
BAAI/bge-m3,3861209_en_q_en,en,technical,random,False,0.33333,0.2,1,3
BAAI/bge-m3,3936133_fr_q_fr,fr,technical,random,False,1.0,0.5,1,3
BAAI/bge-m3,3807352_en_q_en,en,technical,random,False,0.66667,1.0,1,3
BAAI/bge-m3,3666912_fr_q_fr,fr,technical,random,False,1.0,1.0,1,3
BAAI/bge-m3,3283173_fr_q_fr,fr,technical,random,False,0.66667,1.0,1,3
BAAI/bge-m3,4384816_en_q_en,en,technical,random,False,1.0,1.0,1,3
BAAI/bge-m3,4402440_fr_q_fr,fr,technical,random_missing,False,1.0,1.0,1,3
BAAI/bge-m3,3271065_fr_q_fr,fr,technical,random_missing,False,0.0,0.0,0,3
BAAI/bge-m3,3240523_fr_q_fr,fr,technical,random_missing,False,0.0,0.0,0,3
BAAI/bge-m3,4338825_fr_q_fr,fr,technical,random_missing,False,0.33333,0.125,1,3
BAAI/bge-m3,4282901_de_q_de,de,technical,random_missing,False,0.66667,1.0,1,3
BAAI/bge-m3,3938345_de_q_de,de,technical,random_missing,False,0.66667,1.0,1,3
BAAI/bge-m3,4017634_de_q_de,de,technical,random_missing,False,0.33333,1.0,1,3
BAAI/bge-m3,4427808_en_q_en,en,technical,random_missing,False,1.0,1.0,1,3
BAAI/bge-m3,3602003_fr_q_fr,fr,technical,random_missing,False,0.0,0.0,0,3
BAAI/bge-m3,4307416_en_q_en,en,technical,random_missing,False,0.33333,0.2,1,3
BAAI/bge-m3,3704101_en_q_en,en,technical,random_missing,False,1.0,1.0,1,3
BAAI/bge-m3,4106028_fr_q_fr,fr,technical,random_missing,False,0.0,0.0,0,3
BAAI/bge-m3,4229345_de_q_de,de,technical,random_missing,False,0.0,0.0,0,3
BAAI/bge-m3,4525816_en_q_en,en,technical,random_missing,False,0.66667,1.0,1,3
BAAI/bge-m3,4131475_en_q_en,en,technical,random_missing,False,0.33333,0.14286,1,3
BAAI/bge-m3,4292702_en_q_en,en,technical,random_missing,False,0.33333,1.0,1,3
BAAI/bge-m3,3835063_de_q_de,de,technical,random_missing,False,0.66667,1.0,1,3
BAAI/bge-m3,4363430_de_q_de,de,technical,random_missing,False,0.33333,1.0,1,3
BAAI/bge-m3,3602031_en_q_en,en,technical,random_missing,False,0.0,0.0,0,3
BAAI/bge-m3,3950654_fr_q_fr,fr,technical,random_missing,False,0.33333,0.33333,1,3
BAAI/bge-m3,4586953_de_q_de,de,technical,random_missing,False,0.66667,1.0,1,3
BAAI/bge-m3,3590547_de_q_de,de,technical,random_missing,False,0.33333,0.5,1,3
BAAI/bge-m3,3580358_de_q_de,de,technical,random_missing,False,1.0,1.0,1,3
BAAI/bge-m3,2828317_en_q_en,en,technical,random_missing,False,0.0,0.0,0,3
BAAI/bge-m3,3847566_en_q_en,en,technical,random_existing,False,1.0,1.0,1,3
BAAI/bge-m3,4496051_de_q_de,de,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,4108708_de_q_de,de,technical,random_existing,False,1.0,1.0,1,3
BAAI/bge-m3,4417557_de_q_de,de,technical,random_missing,False,1.0,1.0,1,3
BAAI/bge-m3,4426701_de_q_de,de,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,3381434_fr_q_fr,fr,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,4271978_fr_q_fr,fr,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,4556422_en_q_en,en,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,3365356_en_q_en,en,technical,random_existing,False,1.0,1.0,1,3
BAAI/bge-m3,4322294_fr_q_fr,fr,technical,random_existing,False,0.33333,0.125,1,3
BAAI/bge-m3,4543666_fr_q_fr,fr,technical,random_existing,False,1.0,0.5,1,3
BAAI/bge-m3,4388059_fr_q_fr,fr,technical,random_existing,False,1.0,1.0,1,3
BAAI/bge-m3,3854885_de_q_de,de,technical,random_existing,False,1.0,1.0,1,3
BAAI/bge-m3,4022033_fr_q_fr,fr,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,4565069_en_q_en,en,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,3732246_de_q_de,de,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,4578891_fr_q_fr,fr,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,4109587_en_q_en,en,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,4281583_en_q_en,en,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,4312783_en_q_en,en,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,3955901_fr_q_fr,fr,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,4246147_en_q_en,en,technical,random_existing,False,1.0,1.0,1,3
BAAI/bge-m3,3560355_en_q_en,en,technical,random_existing,False,0.33333,1.0,1,3
BAAI/bge-m3,3845687_en_q_en,en,technical,random_existing,False,1.0,1.0,1,3
BAAI/bge-m3,3634441_de_q_de,de,technical,random_existing,False,1.0,1.0,1,3
BAAI/bge-m3,4497505_de_q_de,de,technical,random_existing,False,0.0,0.0,0,3
BAAI/bge-m3,3794949_en_q_en,en,technical,all,False,0.0,0.0,0,3
BAAI/bge-m3,3794949_de_q_de,de,technical,all,False,0.0,0.0,0,3
BAAI/bge-m3,3794949_fr_q_fr,fr,technical,all,False,0.66667,0.16667,1,3
BAAI/bge-m3,4455101_en_q_en,en,technical,all,False,0.66667,1.0,1,3
BAAI/bge-m3,4455101_de_q_de,de,technical,all,False,0.66667,0.5,1,3
BAAI/bge-m3,4455101_fr_q_fr,fr,technical,all,False,0.66667,1.0,1,3
BAAI/bge-m3,4013392_en_q_en,en,technical,all,False,0.0,0.0,0,3
BAAI/bge-m3,4013392_de_q_de,de,technical,all,False,1.0,1.0,1,3
BAAI/bge-m3,4013392_fr_q_fr,fr,technical,all,False,0.0,0.0,0,3
BAAI/bge-m3,3841130_en_q_en,en,technical,all,False,1.0,1.0,1,3
BAAI/bge-m3,3841130_de_q_de,de,technical,all,False,1.0,1.0,1,3
