model,query_id,query_language,mode,strategy,is_synthetic_translation,recall_at_10,rr_at_10,hit_at_10,n_relevant
Alibaba-NLP/gte-multilingual-base,CHEBI_15138__en,en,,,,0.0,0.0,0,40
Alibaba-NLP/gte-multilingual-base,CHEBI_15138__de,de,,,,0.0,0.0,0,40
Alibaba-NLP/gte-multilingual-base,CHEBI_15138__fr,fr,,,,0.0,0.0,0,40
Alibaba-NLP/gte-multilingual-base,CHEBI_30488__en,en,,,,0.0,0.0,0,7
Alibaba-NLP/gte-multilingual-base,CHEBI_30488__de,de,,,,0.0,0.0,0,7
Alibaba-NLP/gte-multilingual-base,CHEBI_30488__fr,fr,,,,0.0,0.0,0,7
Alibaba-NLP/gte-multilingual-base,CHEBI_30488__es,es,,,,0.0,0.0,0,7
Alibaba-NLP/gte-multilingual-base,CHEBI_30488__zh,zh,,,,0.0,0.0,0,7
Alibaba-NLP/gte-multilingual-base,CHEBI_16716__en,en,,,,0.0,0.0,0,42
Alibaba-NLP/gte-multilingual-base,CHEBI_16716__fr,fr,,,,0.0,0.0,0,42
Alibaba-NLP/gte-multilingual-base,CHEBI_16716__de,de,,,,0.0,0.0,0,42
Alibaba-NLP/gte-multilingual-base,CHEBI_16716__zh,zh,,,,0.0,0.0,0,42
Alibaba-NLP/gte-multilingual-base,CHEBI_16716__es,es,,,,0.0,0.0,0,42
Alibaba-NLP/gte-multilingual-base,CHEBI_17359__en,en,,,,0.04545,0.1,1,22
Alibaba-NLP/gte-multilingual-base,CHEBI_17359__de,de,,,,0.0,0.0,0,22
Alibaba-NLP/gte-multilingual-base,CHEBI_17359__fr,fr,,,,0.0,0.0,0,22
Alibaba-NLP/gte-multilingual-base,CHEBI_17359__zh,zh,,,,0.0,0.0,0,22
Alibaba-NLP/gte-multilingual-base,CHEBI_17359__es,es,,,,0.0,0.0,0,22
Alibaba-NLP/gte-multilingual-base,CHEBI_17115__en,en,,,,0.0,0.0,0,47
Alibaba-NLP/gte-multilingual-base,CHEBI_17115__de,de,,,,0.0,0.0,0,47
Alibaba-NLP/gte-multilingual-base,CHEBI_17115__fr,fr,,,,0.0,0.0,0,47
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__en,en,,,,0.01053,0.33333,1,95
Alibaba-NLP/gte-multilingual-base,CHEBI_17115__zh,zh,,,,0.0,0.0,0,47
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__de,de,,,,0.0,0.0,0,95
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__fr,fr,,,,0.0,0.0,0,95
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__es,es,,,,0.01053,0.2,1,95
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__zh,zh,,,,0.0,0.0,0,95
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__en__27,en,,,,0.0,0.0,0,95
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__de__28,de,,,,0.0,0.0,0,95
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__fr__29,fr,,,,0.01053,0.25,1,95
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__es__30,es,,,,0.0,0.0,0,95
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__en,en,,,,0.0,0.0,0,175
Alibaba-NLP/gte-multilingual-base,CHEBI_17967__zh__32,zh,,,,0.0,0.0,0,95
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__de,de,,,,0.0,0.0,0,175
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__fr,fr,,,,0.0,0.0,0,175
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__es,es,,,,0.0,0.0,0,175
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__zh,zh,,,,0.0,0.0,0,175
Alibaba-NLP/gte-multilingual-base,CHEBI_16898__en,en,,,,0.0,0.0,0,38
Alibaba-NLP/gte-multilingual-base,CHEBI_16898__de,de,,,,0.0,0.0,0,38
Alibaba-NLP/gte-multilingual-base,CHEBI_16898__fr,fr,,,,0.0,0.0,0,38
Alibaba-NLP/gte-multilingual-base,CHEBI_16898__es,es,,,,0.0,0.0,0,38
Alibaba-NLP/gte-multilingual-base,CHEBI_16898__zh,zh,,,,0.0,0.0,0,38
Alibaba-NLP/gte-multilingual-base,CHEBI_29309__de,de,,,,0.0,0.0,0,156
Alibaba-NLP/gte-multilingual-base,CHEBI_29309__en,en,,,,0.0,0.0,0,156
Alibaba-NLP/gte-multilingual-base,CHEBI_29309__fr,fr,,,,0.0,0.0,0,156
Alibaba-NLP/gte-multilingual-base,CHEBI_29309__es,es,,,,0.0,0.0,0,156
Alibaba-NLP/gte-multilingual-base,CHEBI_29309__zh,zh,,,,0.0,0.0,0,156
Alibaba-NLP/gte-multilingual-base,CHEBI_62801__en,en,,,,0.0,0.0,0,84
Alibaba-NLP/gte-multilingual-base,CHEBI_62801__de,de,,,,0.0,0.0,0,84
Alibaba-NLP/gte-multilingual-base,CHEBI_62801__fr,fr,,,,0.0,0.0,0,84
Alibaba-NLP/gte-multilingual-base,CHEBI_62801__es,es,,,,0.0119,1.0,1,84
Alibaba-NLP/gte-multilingual-base,CHEBI_62801__zh,zh,,,,0.0,0.0,0,84
Alibaba-NLP/gte-multilingual-base,CHEBI_29191__en,en,,,,0.01802,1.0,1,222
Alibaba-NLP/gte-multilingual-base,CHEBI_29191__de,de,,,,0.0,0.0,0,222
Alibaba-NLP/gte-multilingual-base,CHEBI_29191__fr,fr,,,,0.0,0.0,0,222
Alibaba-NLP/gte-multilingual-base,CHEBI_29191__es,es,,,,0.0,0.0,0,222
Alibaba-NLP/gte-multilingual-base,CHEBI_29191__zh,zh,,,,0.0,0.0,0,222
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__en__57,en,,,,0.00571,0.1,1,175
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__de__58,de,,,,0.0,0.0,0,175
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__fr__59,fr,,,,0.0,0.0,0,175
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__es__60,es,,,,0.0,0.0,0,175
Alibaba-NLP/gte-multilingual-base,CHEBI_16541__zh__61,zh,,,,0.0,0.0,0,175
Alibaba-NLP/gte-multilingual-base,CHEBI_29389__en,en,,,,0.0,0.0,0,182
Alibaba-NLP/gte-multilingual-base,CHEBI_29389__de,de,,,,0.0,0.0,0,182
Alibaba-NLP/gte-multilingual-base,CHEBI_29389__fr,fr,,,,0.0,0.0,0,182
Alibaba-NLP/gte-multilingual-base,CHEBI_29389__zh,zh,,,,0.0,0.0,0,182
Alibaba-NLP/gte-multilingual-base,CHEBI_29389__es,es,,,,0.0,0.0,0,182
Alibaba-NLP/gte-multilingual-base,CHEBI_30832__en,en,,,,0.0,0.0,0,14
Alibaba-NLP/gte-multilingual-base,CHEBI_30832__de,de,,,,0.0,0.0,0,14
Alibaba-NLP/gte-multilingual-base,CHEBI_30832__fr,fr,,,,0.0,0.0,0,14
Alibaba-NLP/gte-multilingual-base,CHEBI_30832__es,es,,,,0.0,0.0,0,14
Alibaba-NLP/gte-multilingual-base,CHEBI_17246__en,en,,,,0.01493,0.5,1,67
Alibaba-NLP/gte-multilingual-base,CHEBI_30832__zh,zh,,,,0.0,0.0,0,14
Alibaba-NLP/gte-multilingual-base,CHEBI_17246__de,de,,,,0.01493,1.0,1,67
Alibaba-NLP/gte-multilingual-base,CHEBI_17246__fr,fr,,,,0.01493,0.5,1,67
Alibaba-NLP/gte-multilingual-base,CHEBI_17246__es,es,,,,0.0,0.0,0,67
Alibaba-NLP/gte-multilingual-base,CHEBI_17246__zh,zh,,,,0.02985,0.11111,1,67
Alibaba-NLP/gte-multilingual-base,CHEBI_16052__en,en,,,,0.0,0.0,0,136
Alibaba-NLP/gte-multilingual-base,CHEBI_16052__de,de,,,,0.00735,0.11111,1,136
