model,short,query_id,qlang,first_gold_idx,n_blockers,same_lang_blockers,sl_blocker_share,sl_confusion,rank1
google/embeddinggemma-300m,embeddinggemma,EP-4633662-A1_en_q_en,en,100,100,52,0.52,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4630509-A1_fr_q_fr,fr,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634248-A1_en_q_es,es,100,100,38,0.38,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634187-A1_en_q_es,es,25,25,21,0.84,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634142-A1_fr_q_fr,fr,100,100,64,0.64,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633768-A2_en_q_es,es,100,100,38,0.38,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633645-A1_fr_q_fr,fr,24,24,10,0.4166666666666667,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4633622-A2_en_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4634601-A1_en_q_en,en,3,3,2,0.6666666666666666,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4630626-A1_de_q_de,de,0,0,0,,0.0,gold
google/embeddinggemma-300m,embeddinggemma,EP-4630600-A1_de_q_en,en,61,61,34,0.5573770491803278,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4633632-A1_en_q_es,es,5,5,3,0.6,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634136-A1_en_q_es,es,100,100,22,0.22,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634157-A1_en_q_de,de,100,100,11,0.11,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4630574-A1_de_q_en,en,100,100,81,0.81,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634111-A1_en_q_de,de,100,100,28,0.28,1.0,same
google/embeddinggemma-300m,embeddinggemma,EP-4634596-A1_en_q_es,es,100,100,10,0.1,1.0,foreign
google/embeddinggemma-300m,embeddinggemma,EP-4634139-A1_en_q_es,es,1,1,1,1.0,1.0,same
