publication_number,source_title,source_abstract,zh_title,zh_abstract,prompt_tokens,completion_tokens,reasoning_tokens,cached_tokens,total_tokens,cost_usd,latency_s,status,error
WO-2025216092-A1,Copper nanoparticles coated by reducing agent,"Provided are copper nanoparticles that: (I) have excellent dispersibility in an organic solvent and thus makes a paste containing the copper nanoparticles from which a highly smooth coating film can be formed; and (II) have excellent sinterability at low temperatures. At least a portion of the surface layer of each of the copper nanoparticles coated by a reducing agent is a film that contains copper oxide and optionally contains copper carbonate. The surfaces of the copper nanoparticles are coated with a reducing agent, where the mass carbon concentration is 0.10% to 2.00%.",还原剂包覆的铜纳米颗粒,提供具有以下特性的铜纳米颗粒：(I) 在有机溶剂中具有优异的分散性，由此可制成含有该铜纳米颗粒的浆料，并能由此形成极为光滑的涂层膜；以及 (II) 在低温下具有优异的烧结性。被还原剂包覆的每个铜纳米颗粒的表面层中，至少一部分是由含有氧化铜和任选含有碳酸铜的膜构成的。铜纳米颗粒的表面被还原剂包覆，其中碳的质量浓度为0.10%至2.00%。,575,3813,3683,0,4388,0.00377318825,19.045,ok,
EP-4634337-A1,Laboratory scale fluid catalytic cracking unit for co-refining bio-based feedstocks,"The invention relates to a test unit, particularly for the study of catalysts in reactions involving at least one catalyst and at least one reagent, such as fluid catalytic cracking reactions. The test unit comprises a downer, separator, riser, catalyst regenerator, and optional catalyst buffer. Transport of the catalyst is performed by screw conveyors.",用于协同炼制生物基原料的实验室规模流化催化裂化装置,本发明涉及一种测试装置，尤其适用于研究涉及至少一种催化剂和至少一种反应物的反应中的催化剂，例如流化催化裂化反应。所述测试装置包括下行反应器、分离器、提升管、催化剂再生器以及可选的催化剂缓冲罐。催化剂的输送由螺旋输送机完成。,538,2983,3649,0,3521,0.0048804,22.527,ok,
EP-4562081-A1,Polymer composition for laser marking,"The invention relates to a polymer composition containing a polyamide- or polyester-carrier polymer matrix into which special polymer particles are embedded, to a method for producing the polymer composition, to its use as a laser marking additive or laser welding additive in organic polymer compositions, and to a laser-markable or laser-weldable organic polymer composition containing the polymer composition.",用于激光标记的聚合物组合物,本发明涉及一种包含聚酰胺或聚酯载体聚合物基体且其中嵌入了特殊聚合物颗粒的聚合物组合物，涉及该聚合物组合物的制备方法，涉及其作为有机聚合物组合物中激光标记添加剂或激光焊接添加剂的用途，以及涉及含有该聚合物组合物且可激光标记或可激光焊接的有机聚合物组合物。,529,2121,2651,0,2650,0.0027835,10.446,ok,
WO-2024019637-A1,Medicinal agent (embodiments) and device for using same,"The inventions are intended for stopping or slowing the progression of the acute phase of ischemic stroke, coronary failure and respiratory failure, and for saving injured and wounded persons suffering from heavy blood loss. A medicinal agent according to a first embodiment contains from 40 to 50 vol% helium, from 25 to 35 vol% argon, from 0.2 to 5 vol% xenon, from 2 to 10 vol% krypton, and not less than 21 vol% oxygen, to a total of 100 vol%, and the temperature of the gas mixture is 30-70°С. A medicinal agent according to a second embodiment contains from 21 to 60 vol% oxygen, from 0.2 to 35 vol% xenon, from 0.2 to 35 vol% krypton, or from 21 to 60 vol% oxygen, xenon in a concentration range of from 0.2 to 35 vol%, from 0.2 to 35 vol% krypton, and the remainder argon in an amount of not less 25 vol%, and the temperature of the gas is 15-70°С. The claimed device is characterized by a mask 1 connected to a breathing bag 7 and to a canister 12 containing an argon-xenon-krypton gas mixture, with a three-way valve for alternately supplying gases to the breathing bag 7, the device being further equipped with a canister 9 containing a helium-oxygen-argon-xenon-krypton gas mixture and having a valve mounted thereon with a manometer that is connected to the mask to permit a supply of the gas mixture directly into the mask 1, and a chemical or electric heater 11 with a connecting heat exchange line.",药物制剂（实施例）及其应用装置,本发明旨在阻止或减缓缺血性脑卒中、冠状动脉衰竭及呼吸衰竭急性期的进展，并用于挽救严重失血的受伤人员与重伤员。根据第一实施例的药物制剂含有40至50 vol%的氦、25至35 vol%的氩、0.2至5 vol%的氙、2至10 vol%的氪，以及不低于21 vol%的氧，总计100 vol%，且该气体混合物的温度为30-70°С。根据第二实施例的药物制剂含有21至60 vol%的氧、0.2至35 vol%的氙、0.2至35 vol%的氪，或含有21至60 vol%的氧、浓度为0.2至35 vol%的氙、0.2至35 vol%的氪，以及余量为不低于25 vol%的氩，且该气体的温度为15-70°С。所要求保护的装置的特征在于，包括与呼吸袋7以及装有氩-氙-氪气体混合物的气瓶12相连的面罩1，该面罩1上设有用于交替向呼吸袋7供气三通阀；该装置还进一步配备有装有氦-氧-氩-氙-氪气体混合物的气瓶9，所述气瓶9上安装有阀门及压力表，所述压力表连接到面罩1以允许将气体混合物直接供应至面罩1中，以及带有连接热交换管路的化学或电加热器11。,854,7389,7277,0,8243,0.0119932,44.484,ok,
WO-2021215962-A1,Method for applying a coating to items made from valve metal and alloy thereof,"The invention relates to the field of electrochemical application of coatings to the valve metals aluminium, titanium, magnesium and their alloys by the process of microarc oxidation (MAO) for a wide range of use not only on new items but also on post-operation items, in particular for restoring coatings after wear. A method includes submersion of an item in a bath with an aqueous electrolyte solution and MAO in a pulse anode-cathode mode. The MAO is performed by controlling the rate of growth of the coating at edges, corners and the centre of the item by changing the mode in the process of application of the coating using a device in which a charge unit includes a controllable pulse-increasing quasi-resonance converter with a current and voltage operating mode. The invention makes it possible to control the rate of production of the coating in different surface regions of an item, which makes it possible to obtain uniform coatings on the item in terms of thickness or a necessary thickness in regions thereof.",一种在阀金属及其合金制成的制品上施加涂层的方法,本发明涉及利用微弧氧化（MAO）工艺在阀金属铝、钛、镁及其合金上电化学施加涂层的领域，该工艺适用范围广泛，不仅可用于新制品，也可用于使用后制品，特别是在磨损后修复涂层。该方法包括将制品浸入装有水基电解质溶液的槽中，并在脉冲阴阳极模式下进行微弧氧化（MAO）。在进行MAO时，通过使用一种装置来改变涂层施加过程中的工作模式，从而控制涂层在制品边缘、角部和中心的生长速率；该装置中的供电单元包含一个具有电流和电压工作模式的可控脉冲递增准谐振变换器。本发明能够控制制品不同表面区域的涂层生成速率，从而能够在制品上获得厚度均匀的涂层，或在特定区域获得所需的厚度。,668,3658,4675,0,4326,0.0037582,41.692,ok,
MX-2025009867-A,Methods for treating breast cancer,"The present disclosure is directed to methods of treating breast cancer in a subject in need thereof comprising administering to said subject a therapeutically effective amount of a radiopharmaceutical compound with GRPR antagonist moiety, e.g. [<sup>177</sup>Lu]Lu-NeoB, in combination with a CDK4/6 inhibitor, e.g. ribocicilib, and with a therapeutically effective amount of an endocrine treatment, e.g. fulvestrant.",治疗乳腺癌的方法,本公开涉及治疗有需要的受试者的乳腺癌的方法，所述方法包括向所述受试者施用治疗有效量的具有GRPR拮抗剂部分的放射性药物化合物（例如[<sup>177</sup>Lu]Lu-NeoB），并与CDK4/6抑制剂（例如ribociclib）以及治疗有效量的内分泌治疗药物（例如fulvestrant）联合施用。,558,3086,3375,0,3644,0.0050492,50.585,ok,
MX-2025004735-A,Method for predicting response to a cancer treatment,"The invention relates to a method for predicting the response to an anti-cancer treatment of patients suffering from cancer, said method being based on the detection of biomarkers. The invention also relates to methods of treatment and methods for selecting a cancer patient to be treated or methods for selecting a suitable therapy for a cancer patient based on the detection of said biomarkers.",预测癌症治疗反应的方法,本发明涉及一种预测癌症患者对抗癌治疗反应的方法，该方法基于生物标志物的检测。本发明还涉及治疗方法，以及基于所述生物标志物的检测选择待治疗的癌症患者或为癌症患者选择适宜疗法的方法。,531,1714,2256,0,2245,0.00179365,21.691,ok,
EP-4634124-A1,Method for elimination of pharmaceuticals from wastewater,"Method for eliminatoin of pharmaceuticals from wastewater by biological, photo-oxidation and sorption means consists of eliminating the pharmaceuticals from 5000 parts by weight of water at 25 °C by biologically eliminating the pharmaceuticals by adding 300 to 800 parts by weight of a filling containing Pseudomonas fluorescens bacteria encapsulated in polyvinyl alcohol lenses. The resulting mixture is maintained in buoyancy by agitation for 24 to 500 hours, then biologically pretreated water is homogenized for 3 to 7 minutes. Then the pharmaceuticals are eliminated by photooxidation for 5 to 60 minutes by UV radiation with a relative radiant power of 50 W/L of treated water from and the addition of 0.4 to 0.6 parts by weight of 30% H2O2and then by sorption by adding 45 to 55 parts by weight of a sorbent, which is iron humate or zinc humate, and applying it with agitation for 30 to 240 minutes.",一种从废水中去除药物的方法,一种通过生物、光氧化及吸附手段从废水中去除药物的方法，包括：在25 °C下，向5000重量份的水中添加300至800重量份的含有被聚乙烯醇透镜包裹的荧光假单胞菌（Pseudomonas fluorescens）的填料，通过生物作用去除药物。所得混合物在搅拌作用下保持悬浮状态24至500小时，随后对经生物预处理的水进行3至7分钟的均质处理。随后通过光氧化法在5至60分钟内去除药物，该方法采用相对辐射功率为50 W/L（按处理水量计）的紫外线辐射，并添加0.4至0.6重量份的30% H2O2，随后通过吸附法进一步去除，即添加45至55重量份的吸附剂（腐植酸铁或腐植酸锌），并持续搅拌30至240分钟。,695,3527,3489,0,4222,0.0057822,70.41,ok,
WO-2025206149-A1,"Polyether polymer, polyether electrolyte for lithium ion secondary battery, composite solid electrolyte for lithium ion secondary battery, and lithium ion secondary battery","The present invention provides: a polyether polymer capable of suppressing a side reaction with a sulfide-based solid electrolyte, and having a high ion transference number; a polyether electrolyte for a lithium ion secondary battery using the polyether polymer; a composite solid electrolyte for a lithium ion secondary battery; and a lithium ion secondary battery. The present invention relates to a polyether polymer including 20 mol% or more of an X unit, which is a constituent unit derived from a specific trimethylene oxide, in 100 mol% of constituent units.",聚醚聚合物、锂离子电池用聚醚电解质、锂离子电池用复合固态电解质以及锂离子电池,本发明提供：一种能够抑制与硫化物基固态电解质的副反应并具有高离子迁移数的聚醚聚合物；使用该聚醚聚合物的锂离子电池用聚醚电解质；锂离子电池用复合固态电解质；以及锂离子电池。本发明涉及一种聚醚聚合物，其在100 mol%的组成单元中包含20 mol%或更多的X单元，所述X单元是源自特定三亚甲基氧化物的组成单元。,596,3584,4248,0,4180,0.0058536,135.48,ok,
EP-4630534-A1,Methods for increasing transfer cell density in seed culture and realizing high cell density inoculation in production cultures,The present application discloses methods for increasing transfer cell density in seed cultures and realizing high cell density inoculation in production cultures. The method for increasing the transfer cell density of a culture comprises cultivating cells by perfusion in a seed culture; and subjecting the seed culture to concentration by perfusion.,用于提高种子培养中转种细胞密度并实现在生产培养中进行高密度接种的方法,本申请公开了用于提高种子培养中转种细胞密度并实现在生产培养中进行高密度接种的方法。所述提高培养物转种细胞密度的方法包括：在种子培养中进行细胞灌流培养；以及对种子培养物进行灌流浓缩。,530,2290,2913,0,2820,0.0023695,37.579,ok,
WO-2025210949-A1,"LABELED COLLAGEN IVα1 PROTEIN, LABELED COLLAGEN IVα2 PROTEIN, NUCLEIC ACIDS ENCODING SAID PROTEINS, AND ANIMALS HAVING SAID NUCLEIC ACIDS",The present disclosure relates to: a labeled collagen IVα1 protein; a labeled collagen IVα2 protein; nucleic acids encoding said proteins; and animals having said nucleic acids. The present disclosure also relates to a method for observing the labeled collagen IVα1 protein or the labeled collagen IVα2 protein in the animals.,标记的胶原蛋白IVα1蛋白、标记的胶原蛋白IVα2蛋白、编码所述蛋白的核酸以及含有所述核酸的动物,本公开涉及：标记的胶原蛋白IVα1蛋白；标记的胶原蛋白IVα2蛋白；编码所述蛋白的核酸；以及含有所述核酸的动物。本公开还涉及一种在动物中观察所述标记的胶原蛋白IVα1蛋白或所述标记的胶原蛋白IVα2蛋白的方法。,573,2253,2540,0,2826,0.0037194,29.705,ok,
