publication_number,source_title,source_abstract,zh_title,zh_abstract,prompt_tokens,completion_tokens,reasoning_tokens,cached_tokens,total_tokens,cost_usd,latency_s,status,error
WO-2025216092-A1,Copper nanoparticles coated by reducing agent,"Provided are copper nanoparticles that: (I) have excellent dispersibility in an organic solvent and thus makes a paste containing the copper nanoparticles from which a highly smooth coating film can be formed; and (II) have excellent sinterability at low temperatures. At least a portion of the surface layer of each of the copper nanoparticles coated by a reducing agent is a film that contains copper oxide and optionally contains copper carbonate. The surfaces of the copper nanoparticles are coated with a reducing agent, where the mass carbon concentration is 0.10% to 2.00%.",由还原剂包覆的铜纳米颗粒,提供了如下铜纳米颗粒：(I) 在有机溶剂中具有优异的分散性，因此可制备含有所述铜纳米颗粒的浆料，由该浆料能够形成高平滑性的涂膜；并且 (II) 在低温下具有优异的烧结性。由还原剂包覆的各铜纳米颗粒的表面层的至少一部分为含有氧化铜并任选含有碳酸铜的膜。所述铜纳米颗粒的表面包覆有还原剂，其中质量碳浓度为0.10% to 2.00%。,554,339,169,0,893,0.01294,6.519,ok,
EP-4634337-A1,Laboratory scale fluid catalytic cracking unit for co-refining bio-based feedstocks,"The invention relates to a test unit, particularly for the study of catalysts in reactions involving at least one catalyst and at least one reagent, such as fluid catalytic cracking reactions. The test unit comprises a downer, separator, riser, catalyst regenerator, and optional catalyst buffer. Transport of the catalyst is performed by screw conveyors.",用于共炼生物基原料的实验室规模流化催化裂化装置,本发明涉及一种测试装置，特别用于研究涉及至少一种催化剂和至少一种反应物的反应中的催化剂，例如流化催化裂化反应。该测试装置包括下行管、分离器、提升管、催化剂再生器以及可选的催化剂缓冲器。催化剂的输送通过螺旋输送机进行。,516,279,153,0,795,0.010950000000000001,4.888,ok,
EP-4562081-A1,Polymer composition for laser marking,"The invention relates to a polymer composition containing a polyamide- or polyester-carrier polymer matrix into which special polymer particles are embedded, to a method for producing the polymer composition, to its use as a laser marking additive or laser welding additive in organic polymer compositions, and to a laser-markable or laser-weldable organic polymer composition containing the polymer composition.",用于激光标记的聚合物组合物,本发明涉及一种聚合物组合物，其含有聚酰胺或聚酯载体聚合物基质，特殊聚合物颗粒嵌入该基质中；还涉及该聚合物组合物的制备方法、其作为有机聚合物组合物中的激光标记添加剂或激光焊接添加剂的用途，以及含有该聚合物组合物的可激光标记或可激光焊接的有机聚合物组合物。,512,278,136,0,790,0.0109,4.12,ok,
WO-2024019637-A1,Medicinal agent (embodiments) and device for using same,"The inventions are intended for stopping or slowing the progression of the acute phase of ischemic stroke, coronary failure and respiratory failure, and for saving injured and wounded persons suffering from heavy blood loss. A medicinal agent according to a first embodiment contains from 40 to 50 vol% helium, from 25 to 35 vol% argon, from 0.2 to 5 vol% xenon, from 2 to 10 vol% krypton, and not less than 21 vol% oxygen, to a total of 100 vol%, and the temperature of the gas mixture is 30-70°С. A medicinal agent according to a second embodiment contains from 21 to 60 vol% oxygen, from 0.2 to 35 vol% xenon, from 0.2 to 35 vol% krypton, or from 21 to 60 vol% oxygen, xenon in a concentration range of from 0.2 to 35 vol%, from 0.2 to 35 vol% krypton, and the remainder argon in an amount of not less 25 vol%, and the temperature of the gas is 15-70°С. The claimed device is characterized by a mask 1 connected to a breathing bag 7 and to a canister 12 containing an argon-xenon-krypton gas mixture, with a three-way valve for alternately supplying gases to the breathing bag 7, the device being further equipped with a canister 9 containing a helium-oxygen-argon-xenon-krypton gas mixture and having a valve mounted thereon with a manometer that is connected to the mask to permit a supply of the gas mixture directly into the mask 1, and a chemical or electric heater 11 with a connecting heat exchange line.",药剂（实施方案）及其使用装置,这些发明旨在阻止或减缓缺血性卒中急性期、冠状动脉功能不全和呼吸衰竭的进展，并用于抢救遭受大量失血的受伤和负伤人员。根据第一实施方案的药剂含有 40 至 50 vol% helium、25 至 35 vol% argon、0.2 至 5 vol% xenon、2 至 10 vol% krypton，以及不少于 21 vol% oxygen，总量为 100 vol%，且该气体混合物的温度为 30-70°С。根据第二实施方案的药剂含有 21 至 60 vol% oxygen、0.2 至 35 vol% xenon、0.2 至 35 vol% krypton，或者含有 21 至 60 vol% oxygen、浓度范围为 0.2 至 35 vol% 的 xenon、0.2 至 35 vol% krypton，余量为不少于 25 vol% 的 argon，且该气体的温度为 15-70°С。所要求保护的装置的特征在于，面罩 1 连接至呼吸袋 7 以及装有 argon-xenon-krypton 气体混合物的气瓶 12，并设有用于向呼吸袋 7 交替供应气体的三通阀；该装置还配备有装有 helium-oxygen-argon-xenon-krypton 气体混合物的气瓶 9，其上安装有带压力表的阀门，该阀门连接至面罩，以允许将该气体混合物直接供应到面罩 1 中；以及化学或电加热器 11，其带有连接的热交换管线。,813,935,512,0,1748,0.032115,15.319,ok,
WO-2021215962-A1,Method for applying a coating to items made from valve metal and alloy thereof,"The invention relates to the field of electrochemical application of coatings to the valve metals aluminium, titanium, magnesium and their alloys by the process of microarc oxidation (MAO) for a wide range of use not only on new items but also on post-operation items, in particular for restoring coatings after wear. A method includes submersion of an item in a bath with an aqueous electrolyte solution and MAO in a pulse anode-cathode mode. The MAO is performed by controlling the rate of growth of the coating at edges, corners and the centre of the item by changing the mode in the process of application of the coating using a device in which a charge unit includes a controllable pulse-increasing quasi-resonance converter with a current and voltage operating mode. The invention makes it possible to control the rate of production of the coating in different surface regions of an item, which makes it possible to obtain uniform coatings on the item in terms of thickness or a necessary thickness in regions thereof.",用于向由阀金属及其合金制成的物品施加涂层的方法,本发明涉及通过微弧氧化 (MAO) 工艺在阀金属 aluminium、titanium、magnesium 及其合金上电化学施加涂层的领域，其用途广泛，不仅适用于新物品，也适用于使用后的物品，特别是用于在磨损后修复涂层。一种方法包括将物品浸入含水电解质溶液的浴槽中，并在脉冲阳极-阴极模式下进行 MAO。通过使用一种装置，在施加涂层的过程中改变模式，以控制物品边缘、角部和中心处涂层的生长速率来进行 MAO；在该装置中，充电单元包括具有电流和电压工作模式的可控脉冲升压准谐振转换器。本发明能够控制物品不同表面区域中涂层的形成速率，从而能够在物品上获得厚度均匀的涂层，或在其各区域中获得所需厚度的涂层。,649,790,512,0,1439,0.026944999999999997,13.964,ok,
MX-2025009867-A,Methods for treating breast cancer,"The present disclosure is directed to methods of treating breast cancer in a subject in need thereof comprising administering to said subject a therapeutically effective amount of a radiopharmaceutical compound with GRPR antagonist moiety, e.g. [<sup>177</sup>Lu]Lu-NeoB, in combination with a CDK4/6 inhibitor, e.g. ribocicilib, and with a therapeutically effective amount of an endocrine treatment, e.g. fulvestrant.",治疗乳腺癌的方法,本公开涉及治疗有需要的受试者的乳腺癌的方法，包括向所述受试者施用治疗有效量的具有 GRPR antagonist moiety 的放射性药物化合物，例如 [<sup>177</sup>Lu]Lu-NeoB，并联合 CDK4/6 抑制剂，例如 ribocicilib，以及治疗有效量的内分泌治疗，例如 fulvestrant。,537,176,63,0,713,0.007965,3.892,ok,
MX-2025004735-A,Method for predicting response to a cancer treatment,"The invention relates to a method for predicting the response to an anti-cancer treatment of patients suffering from cancer, said method being based on the detection of biomarkers. The invention also relates to methods of treatment and methods for selecting a cancer patient to be treated or methods for selecting a suitable therapy for a cancer patient based on the detection of said biomarkers.",预测对癌症治疗的响应的方法,本发明涉及一种预测患有癌症的患者对抗癌治疗的响应的方法，所述方法基于对生物标志物的检测。本发明还涉及基于对所述生物标志物的检测来选择待治疗的癌症患者的方法，或为癌症患者选择合适疗法的方法，以及治疗方法。,512,129,30,0,641,0.00643,3.07,ok,
EP-4634124-A1,Method for elimination of pharmaceuticals from wastewater,"Method for eliminatoin of pharmaceuticals from wastewater by biological, photo-oxidation and sorption means consists of eliminating the pharmaceuticals from 5000 parts by weight of water at 25 °C by biologically eliminating the pharmaceuticals by adding 300 to 800 parts by weight of a filling containing Pseudomonas fluorescens bacteria encapsulated in polyvinyl alcohol lenses. The resulting mixture is maintained in buoyancy by agitation for 24 to 500 hours, then biologically pretreated water is homogenized for 3 to 7 minutes. Then the pharmaceuticals are eliminated by photooxidation for 5 to 60 minutes by UV radiation with a relative radiant power of 50 W/L of treated water from and the addition of 0.4 to 0.6 parts by weight of 30% H2O2and then by sorption by adding 45 to 55 parts by weight of a sorbent, which is iron humate or zinc humate, and applying it with agitation for 30 to 240 minutes.",从废水中去除药物的方法,一种通过生物、光氧化和吸附手段从废水中去除药物的方法，包括在 25 °C 下从 5000 parts by weight 的水中去除药物：通过加入 300 to 800 parts by weight 的填料对药物进行生物去除，所述填料含有包埋在 polyvinyl alcohol lenses 中的 Pseudomonas fluorescens 细菌。所得混合物通过搅拌保持悬浮 24 to 500 hours，随后将经生物预处理的水均质 3 to 7 minutes。然后通过光氧化去除药物，采用相对辐射功率为 50 W/L 的 UV radiation 对处理水照射 5 to 60 minutes，并加入 0.4 to 0.6 parts by weight 的 30% H2O2，随后通过吸附去除药物，即加入 45 to 55 parts by weight 的吸附剂，所述吸附剂为 iron humate 或 zinc humate，并在搅拌下作用 30 to 240 minutes。,654,780,512,0,1434,0.02667,14.483,ok,
WO-2025206149-A1,"Polyether polymer, polyether electrolyte for lithium ion secondary battery, composite solid electrolyte for lithium ion secondary battery, and lithium ion secondary battery","The present invention provides: a polyether polymer capable of suppressing a side reaction with a sulfide-based solid electrolyte, and having a high ion transference number; a polyether electrolyte for a lithium ion secondary battery using the polyether polymer; a composite solid electrolyte for a lithium ion secondary battery; and a lithium ion secondary battery. The present invention relates to a polyether polymer including 20 mol% or more of an X unit, which is a constituent unit derived from a specific trimethylene oxide, in 100 mol% of constituent units.",聚醚聚合物、用于锂离子二次电池的聚醚电解质、用于锂离子二次电池的复合固体电解质以及锂离子二次电池,本发明提供：一种能够抑制与硫化物基固体电解质发生副反应且具有高离子迁移数的聚醚聚合物；使用该聚醚聚合物的用于锂离子二次电池的聚醚电解质；用于锂离子二次电池的复合固体电解质；以及锂离子二次电池。本发明涉及一种聚醚聚合物，其在 100 mol% 的构成单元中包含 20 mol% 或更多的 X单元，所述 X单元是衍生自特定 trimethylene oxide 的构成单元。,572,491,275,0,1063,0.01759,7.635,ok,
EP-4630534-A1,Methods for increasing transfer cell density in seed culture and realizing high cell density inoculation in production cultures,The present application discloses methods for increasing transfer cell density in seed cultures and realizing high cell density inoculation in production cultures. The method for increasing the transfer cell density of a culture comprises cultivating cells by perfusion in a seed culture; and subjecting the seed culture to concentration by perfusion.,提高种子培养中的转移细胞密度并在生产培养中实现高细胞密度接种的方法,本申请公开了提高种子培养中的转移细胞密度并在生产培养中实现高细胞密度接种的方法。提高培养物转移细胞密度的方法包括：在种子培养中通过灌流培养细胞；以及通过灌流对种子培养物进行浓缩。,514,169,59,0,683,0.00764,3.012,ok,
