publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025009666-A,technical,random_existing,en,anthropic/claude-sonnet-4.6,gpt-5.5,Where is the fluid outlet located on the dump tank vessel used to receive reactor product?,at a bottom of the vessel,structure,36,15,21,3,3401,167,0,0.012708,5377,1085,581,0.038699,0.051407,23.941,ok,
WO-2023149795-A1,technical,random_existing,en,anthropic/claude-sonnet-4.6,gpt-5.5,What protein synthesis stimulator is added to the second nutrient medium for insect larval cultivation?,zinc acetate,material,37,15,22,3,3117,150,0,0.011601,4787,985,485,0.035053,0.046654,20.442,ok,
WO-2025211128-A1,technical,random_any,en,anthropic/claude-sonnet-4.6,gpt-5.5,What is the maximum recess depth from the surface specified for a polycrystalline silicon member?,0.5 μm or less,parameter_or_condition,37,15,22,3,2502,202,22,0.010536,3811,947,458,0.047465,0.058001,23.24,ok,
WO-2025210445-A1,technical,random_existing,fr,anthropic/claude-sonnet-4.6,gpt-5.5,Quelle est la plage de tension préférentielle appliquée entre les électrodes dans un procédé électrochimique de génération de réactifs de Fenton in situ ?,entre 1 V et 20 V,parameter_or_condition,36,15,21,3,4372,478,197,0.020286,6307,1133,621,0.065525,0.085811,30.833,ok,
MX-2025002756-A,technical,random_any,en,anthropic/claude-sonnet-4.6,gpt-5.5,What is the maximum allowable Pb content in lead-free brass alloy?,less than 0.1 wt % Pb,structure,37,15,22,3,2389,147,0,0.009372,3617,937,458,0.046195,0.055567,21.024,ok,
EP-4504821-A1,technical,random_missing,es,anthropic/claude-sonnet-4.6,gpt-5.5,¿Cuántos átomos de carbono puede tener el resto R2 en la fórmula de los organopolysiloxanos preentrecruzados?,3 to 18 carbon atoms,parameter_or_condition,37,15,22,3,5161,1614,446,0.039693,7379,1295,764,0.075745,0.115438,56.577,ok,
WO-2025211336-A1,semantic,random_existing,en,anthropic/claude-sonnet-4.6,gpt-5.5,"What approach addresses the challenge of achieving deep-section light cure in flexible, heat-stable coatings?",a photocurable resin composition which has favorable thick film curability and of which the cured product after curing is excellent in flexibility and heat resistance,problem,38,15,23,3,2646,269,0,0.011973,4004,1167,625,0.05503,0.067003,29.244,ok,
EP-4584229-A1,technical,random_missing,es,anthropic/claude-sonnet-4.6,gpt-5.5,¿Qué representa el grupo R en la fórmula R-NR'H de los amino compounds utilizados en composiciones de polvos de dispersión?,a linear or branched and optionally substituted hydrocarbon group with 1 to 20 carbon atoms,structure,35,15,20,3,4873,1262,442,0.033549,7039,943,435,0.063485,0.097034,37.036,ok,
WO-2025054647-A1,semantic,random_missing,es,anthropic/claude-sonnet-4.6,gpt-5.5,¿Qué propiedades mecánicas y de transporte debe reunir una matriz que aloje un medio de almacenamiento termoquímico para funcionar de forma estable en un amplio rango térmico?,"die Matrix einen Gasdiffusionskoeffizient für das Gas von 2,25*10-9 m2/s bis 4,25*10-9 m2/s in einem Temperaturbereich von -30°C bis 300°C, und eine maximale Dehnung ε im Hooke'schen Bereich von 25% bis 300% aufweist",problem,36,15,21,3,3778,1123,647,0.028179,5332,998,455,0.0566,0.084779,36.722,ok,
EP-4630021-A1,technical,random_missing,de,anthropic/claude-sonnet-4.6,gpt-5.5,Was wird bei der Verarbeitung von eingehendem plazentaren Gewebe und Fluid mit Verfärbungen und Verunreinigungen als Endprodukt erzeugt?,a clear amnion and amniotic fluid injectable product,outcome,32,15,17,3,3473,467,291,0.017424,4115,1265,761,0.058525,0.075949,37.341,ok,
MX-2025009131-A,technical,random_missing,zh,anthropic/claude-sonnet-4.6,gpt-5.5,生产柔性泡沫时，用什么流体对高压釜腔室或模具腔体加压？,supercritical fluid,material,36,15,21,3,3422,499,275,0.017751,4157,1165,673,0.055735,0.073486,28.045,ok,
WO-2022005333-A1,semantic,random_existing,en,anthropic/claude-sonnet-4.6,gpt-5.5,How can low-value refinery off-gases like propane-propylene or butane-butylene cuts be converted into high-octane gasoline?,"The method makes it possible to produce gasolines using low-demand olefin-containing fractions, such as dry gas from catalytic cracking, a propane-propylene fraction or a butane-butylene fraction, and to increase the octane rating of the product to 95-98 at a product yield of more than 70 wt%",application,35,13,22,3,3179,593,230,0.018432,4906,951,422,0.05306,0.071492,25.918,ok,
EP-4627881-A1,semantic,forced_zh,zh,anthropic/claude-sonnet-4.6,gpt-5.5,有没有一种统一的控制方法，可以同时适用于单台等离子体发生器和整套高温熔融系统？,"一种用于操作此类设备（10, 10a, 10b）、此类等离子体发生装置（100）或此类高温工艺设备（尤其是熔融装置（26））的方法",problem,34,14,20,3,3810,359,79,0.016815,4438,1123,523,0.05588,0.072695,27.331,ok,
MX-2025007206-A,technical,random_missing,de,anthropic/claude-sonnet-4.6,gpt-5.5,Bei welcher Mindesttemperatur kann eine rAAV-Formulierung für die Langzeitlagerung im Regal gelagert werden?,oberhalb von -80°C,parameter_or_condition,31,13,18,3,3323,457,210,0.016824,3909,1285,752,0.058095,0.074919,30.412,ok,
MX-2025010190-A,technical,random_existing,en,anthropic/claude-sonnet-4.6,gpt-5.5,What type of amino acid profile does the recombinant polypeptide in the nutritional composition provide?,a nutritionally complete amino acid profile,structure,33,15,18,3,2727,197,0,0.011136,4209,848,347,0.046485,0.057621,19.66,ok,
