publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025009666-A,technical,random_existing,en,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Where is the fluid outlet positioned in the dump tank vessel?,at a bottom of the vessel,structure,37,15,22,3,2856,3873,4007,0.004301,6103,522,0,0.026139,0.03044,31.056,ok,
WO-2023149795-A1,technical,random_existing,en,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,At what temperature are the lyophilized larvae re-ground?,-55°C,parameter_or_condition,37,14,23,3,2669,3474,3362,0.006092,5515,470,0,0.023595,0.029687,52.495,ok,
WO-2025211128-A1,technical,random_any,en,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,What is the preferred percentage range of Σ9 grain boundaries within the coincidence grain boundary?,from 3% to 20%,structure,36,15,21,3,2237,2678,2637,0.002991,4341,462,0,0.019953,0.022944,36.386,ok,
WO-2025210445-A1,technical,random_existing,fr,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Quelle plage de tension est plus préférentiellement appliquée entre les électrodes ?,entre 1 V et 20 V,parameter_or_condition,36,14,22,3,3711,4233,4022,0.00479,7233,526,0,0.029589,0.034379,30.577,ok,
MX-2025002756-A,technical,random_any,en,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,What is the maximum allowable lead content in the alloy?,less than 0.1 wt %,structure,37,15,22,3,2138,2903,2773,0.005072,4089,477,0,0.019422,0.024494,58.06,ok,
EP-4504821-A1,technical,random_missing,es,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,¿Cuáles son los valores permitidos para b?,0 or an integer from 1 to 500,parameter_or_condition,33,15,18,3,4179,4111,4143,0.004696,8731,516,0,0.033933,0.038629,43.399,ok,
WO-2025211336-A1,semantic,random_existing,en,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,What specific ingredient combination enables UV-sensitive polymers to retain pliability and withstand high temperatures when cured into heavy layers?,"component (A): a polyorganosiloxane having one or more vinyl groups in one molecule, component (B): a compound having one or more mercapto groups in one molecule, component (C): a photoinitiator, and component (D): hollow resin particles",solution,31,12,19,3,2368,4456,4876,0.004788,4490,593,0,0.022365,0.027153,40.863,ok,
EP-4584229-A1,technical,random_missing,es,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,¿Cuál es el rango de átomos de carbono definido para el grupo R en la fórmula R-NR'H?,1 to 20 carbon atoms,structure,33,13,20,3,3932,3620,3481,0.00421,8279,458,0,0.031707,0.035917,31.798,ok,
WO-2025054647-A1,semantic,random_missing,es,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,¿Qué parámetros de permeabilidad y dilatación estructural debe cumplir el material soporte para garantizar un funcionamiento estable en acumuladores de calor químico?,"la matriz tiene un coeficiente de difusión de gas para el gas de 2.25*10 -9 m 2 /s to 4.25*10 -9 m 2 /s en un rango de temperatura de -30°C to 300°C, y una expansión máxima ε en el rango de la ley de Hooke de 25% to 300%",solution,31,11,20,3,3095,7041,6655,0.007505,6028,566,0,0.026574,0.034079,47.333,ok,
EP-4630021-A1,technical,random_missing,de,qwen/qwen3.6-35b-a3b,anthropic/claude-sonnet-4.6,Welche Komponenten bleiben nach der Aufbereitung des Injektionsprodukts erhalten?,"postbiotics, proteins, exosomes, biocomponents",outcome,34,15,19,3,2595,5003,5361,0.008524,4761,529,0,0.022218,0.030742,91.787,ok,
