publication_number,mode,strategy_name,question_language,generator_model,verifier_model,best_question,best_answer,category,best_total_score,best_faith_overall,best_qual_overall,n_questions_returned,gen_prompt_tokens,gen_completion_tokens,gen_reasoning_tokens,gen_cost_usd,verify_prompt_tokens,verify_completion_tokens,verify_reasoning_tokens,verify_cost_usd,total_cost_usd,latency_s,status,error
MX-2025009666-A,technical,random_existing,en,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Where is the fluid outlet located in the dump tank?,at a bottom of the vessel,structure,34,15,19,3,2893,673,512,0.005198,6139,450,0,0.025167,0.030365,13.345,ok,
WO-2023149795-A1,technical,random_existing,en,gpt-5.4-mini,anthropic/claude-sonnet-4.6,What protein synthesis stimulator is added to the second nutrient medium?,zinc acetate,material,37,15,22,3,2623,646,512,0.004874,5517,440,0,0.023151,0.028025,13.337,ok,
WO-2025211128-A1,technical,random_any,en,gpt-5.4-mini,anthropic/claude-sonnet-4.6,What is the recess depth from the surface?,0.5 μm or less,parameter_or_condition,35,15,20,3,2121,529,394,0.003971,4301,442,0,0.019533,0.023504,12.485,ok,
WO-2025210445-A1,technical,random_existing,fr,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Quelle plage de tension est indiquée comme la plus préférée entre les électrodes ?,entre 1 V et 20 V,parameter_or_condition,36,15,21,3,3562,1575,1402,0.009759,7029,557,0,0.029442,0.039201,20.213,ok,
MX-2025002756-A,technical,random_any,en,gpt-5.4-mini,anthropic/claude-sonnet-4.6,What Mn content range is in the lead-free brass alloy?,2.0 to 2.5 wt % Mn,structure,33,15,18,3,2041,652,512,0.004465,4101,442,0,0.018933,0.023398,11.259,ok,
EP-4504821-A1,technical,random_missing,es,gpt-5.4-mini,anthropic/claude-sonnet-4.6,¿Qué valores puede tomar b?,0 o un número entero de 1 to 500,parameter_or_condition,33,13,20,3,4059,1497,1304,0.009781,8795,560,0,0.034785,0.044566,21.992,ok,
WO-2025211336-A1,semantic,random_existing,en,gpt-5.4-mini,anthropic/claude-sonnet-4.6,"How can a photocurable resin be made suitable for thick-film curing while still giving a flexible, heat-resistant cured product?",has favorable thick film curability and of which the cured product after curing is excellent in flexibility and heat resistance,problem,31,9,22,3,2283,730,512,0.004997,4384,555,0,0.021477,0.026474,14.661,ok,
EP-4584229-A1,technical,random_missing,es,gpt-5.4-mini,anthropic/claude-sonnet-4.6,¿Qué rango de carbonos tiene R en R-NR'H?,1 to 20 carbon atoms,structure,35,13,22,3,3867,3081,2894,0.016765,8185,526,0,0.032445,0.04921,31.904,ok,
WO-2025054647-A1,semantic,random_missing,es,gpt-5.4-mini,anthropic/claude-sonnet-4.6,¿Qué características debe tener la matriz para funcionar bien en un sistema de almacenamiento térmico de este tipo?,"la matriz presentando un coeficiente de difusión de gas para el gas de 2,25*10 -9 m 2 /s a 4,25*10 -9 m 2 /s en una plage de temperatura de -30 °C a 300 °C, y una expansión máxima ε en la plage de ley de Hooke de 25 % a 300 %",problem,29,12,17,3,2978,818,512,0.005915,6006,624,0,0.027378,0.033293,22.838,ok,
EP-4630021-A1,technical,random_missing,de,gpt-5.4-mini,anthropic/claude-sonnet-4.6,Welche Eigenschaften hat das flüssige Injektionsprodukt?,"clear, safe, and physiologically and biologically active",outcome,29,14,15,3,2519,2210,2048,0.011834,4685,552,0,0.022335,0.034169,23.389,ok,
