model,query_id,query_language,mode,strategy,is_synthetic_translation,recall_at_10,rr_at_10,hit_at_10,n_relevant
BAAI/bge-m3,EP-4633662-A1_en_q_en,en,,,False,0.33333,0.33333,1,3
BAAI/bge-m3,EP-4630509-A1_fr_q_fr,fr,,,False,0.33333,1.0,1,3
BAAI/bge-m3,EP-4634248-A1_en_q_es,es,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4634187-A1_en_q_es,es,,,True,0.66667,0.16667,1,3
BAAI/bge-m3,EP-4634142-A1_fr_q_fr,fr,,,False,0.0,0.0,0,3
BAAI/bge-m3,EP-4633768-A2_en_q_es,es,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4633645-A1_fr_q_fr,fr,,,False,0.0,0.0,0,3
BAAI/bge-m3,EP-4633622-A2_en_q_de,de,,,True,0.66667,1.0,1,3
BAAI/bge-m3,EP-4634601-A1_en_q_en,en,,,False,0.33333,0.11111,1,3
BAAI/bge-m3,EP-4630626-A1_de_q_de,de,,,False,0.66667,0.5,1,3
BAAI/bge-m3,EP-4630600-A1_de_q_en,en,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4633632-A1_en_q_es,es,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4634136-A1_en_q_es,es,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4634157-A1_en_q_de,de,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4630574-A1_de_q_en,en,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4634111-A1_en_q_de,de,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4634596-A1_en_q_es,es,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4634139-A1_en_q_es,es,,,True,0.66667,1.0,1,3
BAAI/bge-m3,WO-2025153617-A3_de_q_en,en,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4634251-A1_en_q_es,es,,,True,0.0,0.0,0,3
BAAI/bge-m3,EP-4634426-A1_en_q_es,es,,,True,0.33333,0.11111,1,3
BAAI/bge-m3,EP-4634729-A1_en_q_de,de,,,True,1.0,1.0,1,2
BAAI/bge-m3,EP-4626569-A1_de_q_en,en,,,True,0.5,0.2,1,2
BAAI/bge-m3,EP-4634394-A2_en_q_es,es,,,True,1.0,1.0,1,2
BAAI/bge-m3,EP-4634424-A1_en_q_es,es,,,True,0.5,0.33333,1,2
BAAI/bge-m3,EP-4633602-A1_en_q_de,de,,,True,0.0,0.0,0,2
BAAI/bge-m3,EP-4634337-A1_en_q_en,en,,,False,0.5,0.11111,1,2
BAAI/bge-m3,EP-4634128-A1_en_q_en,en,,,False,0.0,0.0,0,2
BAAI/bge-m3,EP-4633896-A1_en_q_en,en,,,False,0.0,0.0,0,2
BAAI/bge-m3,WO-2025215091-A1_fr_q_fr,fr,,,False,0.0,0.0,0,2
BAAI/bge-m3,EP-4633599-A1_fr_q_fr,fr,,,False,1.0,0.25,1,2
BAAI/bge-m3,EP-4633656-A1_fr_q_fr,fr,,,False,0.0,0.0,0,2
BAAI/bge-m3,WO-2025208167-A1_de_q_de,de,,,False,0.0,0.0,0,2
BAAI/bge-m3,EP-4634396-A1_fr_q_fr,fr,,,False,1.0,1.0,1,2
BAAI/bge-m3,EP-4633893-A1_fr_q_fr,fr,,,False,0.0,0.0,0,2
BAAI/bge-m3,EP-4633462-A1_en_q_en,en,,,False,1.0,1.0,1,2
BAAI/bge-m3,EP-4633386-A1_en_q_en,en,,,False,0.5,0.16667,1,2
BAAI/bge-m3,EP-4633970-A1_fr_q_fr,fr,,,False,0.5,0.14286,1,2
BAAI/bge-m3,EP-4633415-A1_en_q_en,en,,,False,0.5,0.11111,1,2
BAAI/bge-m3,EP-4633415-A1_en_q_de,de,,,True,0.5,0.11111,1,2
BAAI/bge-m3,EP-4633415-A1_fr_q_fr,fr,,,False,0.0,0.0,0,2
BAAI/bge-m3,EP-4633415-A1_en_q_es,es,,,True,1.0,1.0,1,2
BAAI/bge-m3,EP-4633950-A1_en_q_en,en,,,False,0.0,0.0,0,2
BAAI/bge-m3,EP-4633950-A1_en_q_de,de,,,True,0.0,0.0,0,2
BAAI/bge-m3,EP-4633950-A1_fr_q_fr,fr,,,False,0.0,0.0,0,2
BAAI/bge-m3,EP-4633950-A1_en_q_es,es,,,True,0.0,0.0,0,2
BAAI/bge-m3,EP-4634629-A1_en_q_en,en,,,False,0.0,0.0,0,3
